value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betanysports_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
betus,-540.0,-0.02729843507676022,Syracuse Orange @ Washington State Cougars,h2h,,Syracuse Orange,,-590.0,-570.0,-650.0,-570.0,-590.0,-540.0,-585.0,-575.0,-700.0,-630.0,,-600.0,-570.0,-625.0,0.8207169454039837,1.1851851851851851
lowvig,-106.0,-0.10812147343635448,Rutgers Scarlet Knights @ Kansas State Wildcats,spreads,,Rutgers Scarlet Knights,7.0,-112.0,,-110.0,-110.0,-112.0,,-110.0,-110.0,-115.0,,-120.0,-115.0,-106.0,,0.4589277855133322,1.9433962264150944
lowvig,-101.0,-0.10973584860379704,Buffalo Bulls @ Liberty Flames,spreads,,Liberty Flames,1.5,,,-105.0,-105.0,,,-110.0,,-105.0,,,-110.0,-101.0,,0.4473466631393856,1.99009900990099
lowvig,-103.0,-0.020796252709453733,Miami (OH) RedHawks @ Colorado State Rams,totals,,Over,42.5,-109.0,-105.0,-110.0,-105.0,-109.0,,-110.0,,-110.0,-114.0,,-110.0,-103.0,,0.4968373693149077,1.970873786407767
ballybet,-105.0,-0.10884786048423445,Alabama Crimson Tide @ Michigan Wolverines,spreads,,Alabama Crimson Tide,-10.5,-105.0,-110.0,-115.0,-112.0,-105.0,-110.0,,,,-115.0,,,-108.0,,0.4564437787763677,1.9523809523809523
betparx,-105.0,-0.10884786048423445,Alabama Crimson Tide @ Michigan Wolverines,spreads,,Alabama Crimson Tide,-10.5,-105.0,-110.0,-115.0,-112.0,-105.0,-110.0,,,,-115.0,,,-108.0,,0.4564437787763677,1.9523809523809523
betanysports,500.0,0.030816527312934827,Duke Blue Devils @ Ole Miss Rebels,h2h,,Duke Blue Devils,,450.0,500.0,450.0,460.0,450.0,450.0,430.0,440.0,450.0,500.0,,425.0,,475.0,0.1718027545521558,6.0
fanduel,500.0,0.030816527312934827,Duke Blue Devils @ Ole Miss Rebels,h2h,,Duke Blue Devils,,450.0,500.0,450.0,460.0,450.0,450.0,430.0,440.0,450.0,500.0,,425.0,,475.0,0.1718027545521558,6.0
ballybet,-230.0,-0.02483238879850458,Minnesota Golden Gophers @ Virginia Tech Hokies,h2h,,Minnesota Golden Gophers,,-230.0,-245.0,-250.0,-245.0,-230.0,-245.0,-245.0,-250.0,-240.0,-235.0,,-275.0,-245.0,-250.0,0.6796622744737696,1.434782608695652
betparx,-230.0,-0.02483238879850458,Minnesota Golden Gophers @ Virginia Tech Hokies,h2h,,Minnesota Golden Gophers,,-230.0,-245.0,-250.0,-245.0,-230.0,-245.0,-245.0,-250.0,-240.0,-235.0,,-275.0,-245.0,-250.0,0.6796622744737696,1.434782608695652
ballybet,-105.0,-0.020494570414746005,North Texas Mean Green @ Texas State Bobcats,totals,,Under,64.5,-105.0,-115.0,-110.0,-115.0,-105.0,-115.0,,-108.0,-110.0,,,-110.0,-114.0,,0.5016979029583009,1.9523809523809523
betparx,-105.0,-0.020494570414746005,North Texas Mean Green @ Texas State Bobcats,totals,,Under,64.5,-105.0,-115.0,-110.0,-115.0,-105.0,-115.0,,-108.0,-110.0,,,-110.0,-114.0,,0.5016979029583009,1.9523809523809523
fanduel,-146.0,-0.018072406173844424,Iowa Hawkeyes @ Missouri Tigers,h2h,,Missouri Tigers,,-148.0,-155.0,-165.0,-155.0,-148.0,-160.0,-160.0,-155.0,-150.0,-146.0,,-150.0,-155.0,-154.0,0.5827700353602386,1.6849315068493151
ballybet,-105.0,-0.1083480062353056,Arkansas State Red Wolves @ Bowling Green Falcons,spreads,,Bowling Green Falcons,-7.0,-105.0,,-110.0,-115.0,-105.0,-110.0,-110.0,-112.0,-110.0,,-115.0,-110.0,-111.0,,0.4566998016843557,1.9523809523809523
betparx,-105.0,-0.1083480062353056,Arkansas State Red Wolves @ Bowling Green Falcons,spreads,,Bowling Green Falcons,-7.0,-105.0,,-110.0,-115.0,-105.0,-110.0,-110.0,-112.0,-110.0,,-115.0,-110.0,-111.0,,0.4566998016843557,1.9523809523809523
