value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,mybookieag_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
fanduel,-140.0,-0.023268494625890312,South Dakota Coyotes @ Utah Tech Trailblazers,h2h,,South Dakota Coyotes,,-143.0,-150.0,-145.0,-143.0,-145.0,-140.0,-148.0,-145.0,-140.0,-160.0,-155.0,-145.0,-159.0,-154.0,0.569760044801564,1.7142857142857144
bovada,-130.0,-0.029686729614756713,Lipscomb Bisons @ Middle Tennessee Blue Raiders,h2h,,Middle Tennessee Blue Raiders,,-134.0,-135.0,,-134.0,,-130.0,-135.0,-135.0,-120.0,-150.0,-140.0,,-155.0,-143.0,0.5484379354351375,1.7692307692307692
lowvig,-106.0,-0.11117530935528908,Grambling St Tigers @ Delaware St Hornets,spreads,,Grambling St Tigers,-5.0,,,-110.0,,,-110.0,-115.0,,,,-115.0,-106.0,,,0.4573563942152396,1.9433962264150944
mybookieag,-110.0,-0.11061388120934934,Tennessee Tech Golden Eagles @ Lindenwood Lions,spreads,,Lindenwood Lions,-2.5,-112.0,,-117.0,-112.0,-115.0,,,,-120.0,-125.0,,-113.0,-110.0,,0.4658689193665314,1.9090909090909087
espnbet,-230.0,-0.03817366723042259,Grambling St Tigers @ Delaware St Hornets,h2h,,Grambling St Tigers,,-240.0,-250.0,,-240.0,,-220.0,-258.0,-230.0,-220.0,-250.0,-250.0,,-270.0,-250.0,0.6703638076878873,1.434782608695652
bovada,-105.0,-0.10947974483501843,New Orleans Privateers @ Texas Longhorns,spreads,,Texas Longhorns,-34.5,-114.0,,-110.0,-114.0,,-105.0,-110.0,-110.0,-110.0,-115.0,-110.0,-106.0,,,0.4561201306942589,1.9523809523809523
betonlineag,-225.0,-0.028498099628571305,Eastern Illinois Panthers @ SE Missouri St Redhawks,h2h,,SE Missouri St Redhawks,,-250.0,-250.0,-225.0,-250.0,-225.0,-230.0,-238.0,-240.0,-220.0,-260.0,-260.0,-225.0,-244.0,-250.0,0.6725782387186814,1.4444444444444444
betus,-225.0,-0.028498099628571305,Eastern Illinois Panthers @ SE Missouri St Redhawks,h2h,,SE Missouri St Redhawks,,-250.0,-250.0,-225.0,-250.0,-225.0,-230.0,-238.0,-240.0,-220.0,-260.0,-260.0,-225.0,-244.0,-250.0,0.6725782387186814,1.4444444444444444
lowvig,-225.0,-0.028498099628571305,Eastern Illinois Panthers @ SE Missouri St Redhawks,h2h,,SE Missouri St Redhawks,,-250.0,-250.0,-225.0,-250.0,-225.0,-230.0,-238.0,-240.0,-220.0,-260.0,-260.0,-225.0,-244.0,-250.0,0.6725782387186814,1.4444444444444444
lowvig,-106.0,-0.10962994526821868,Bellarmine Knights @ Wyoming Cowboys,spreads,,Bellarmine Knights,14.5,-118.0,-110.0,-110.0,-118.0,,,-110.0,-110.0,-110.0,-115.0,-110.0,-106.0,-110.0,,0.4581515815610137,1.9433962264150944
