value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,mybookieag_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
fanduel,-235.0,-0.023661807435322424,Norfolk St Spartans @ Grambling St Tigers,h2h,,Norfolk St Spartans,,-250.0,-250.0,,-250.0,,,-270.0,-270.0,-235.0,-275.0,-275.0,,-290.0,-250.0,0.6848939559782067,1.425531914893617
espnbet,100.0,-0.09822315848846985,Southern Jaguars @ Loyola Marymount Lions,spreads,,Loyola Marymount Lions,-9.5,-112.0,-105.0,,-112.0,,,,100.0,,-110.0,,,,,0.4508884207557651,2.0
fanduel,195.0,0.0017705100751284064,Holy Cross Crusaders @ Siena Saints,h2h,,Holy Cross Crusaders,,175.0,180.0,,175.0,,,170.0,190.0,195.0,175.0,180.0,,170.0,175.0,0.3395832237542808,2.95
draftkings,220.0,0.008339340869738754,Norfolk St Spartans @ Grambling St Tigers,h2h,,Grambling St Tigers,,200.0,200.0,,200.0,,,220.0,220.0,190.0,195.0,200.0,,190.0,195.0,0.3151060440217933,3.2
espnbet,220.0,0.008339340869738754,Norfolk St Spartans @ Grambling St Tigers,h2h,,Grambling St Tigers,,200.0,200.0,,200.0,,,220.0,220.0,190.0,195.0,200.0,,190.0,195.0,0.3151060440217933,3.2
lowvig,-103.0,-0.01197056995531598,Valparaiso Beacons @ Western Michigan Broncos,totals,,Under,152.5,-115.0,-110.0,-105.0,-115.0,,,-112.0,-110.0,-110.0,-120.0,,-103.0,,,0.5013154250965638,1.970873786407767
fanduel,-104.0,-0.10396436270675535,Florida A&M Rattlers @ BYU Cougars,spreads,,Florida A&M Rattlers,33.5,-112.0,,,-112.0,,,,,-104.0,-115.0,,,,,0.4568024817573404,1.9615384615384617
draftkings,-148.0,-0.023279041756316787,Longwood Lancers @ North Carolina Central Eagles,h2h,,Longwood Lancers,,-165.0,-150.0,,-165.0,,,-148.0,-155.0,-154.0,-165.0,-170.0,,-175.0,-154.0,0.5828818621776819,1.6756756756756757
fanduel,-275.0,-0.020622079710170382,St. John's Red Storm @ Providence Friars,h2h,,St. John's Red Storm,,-335.0,-300.0,-285.0,-335.0,-305.0,-290.0,-305.0,-300.0,-275.0,-325.0,-325.0,-285.0,-323.0,-286.0,0.7182104748792083,1.3636363636363638
lowvig,-103.0,-0.014214166953120055,Akron Zips @ Yale Bulldogs,totals,,Over,155.5,-114.0,-105.0,-105.0,-114.0,,-110.0,-112.0,-110.0,-115.0,-120.0,-110.0,-103.0,-110.0,,0.5001770482947223,1.970873786407767
betmgm,-105.0,-0.026709721422518817,Norfolk St Spartans @ Grambling St Tigers,totals,,Over,138.5,,-105.0,,,,,,-110.0,,-120.0,-110.0,,,,0.4985145329299294,1.9523809523809523
ballybet,260.0,0.014442290434850236,St. John's Red Storm @ Providence Friars,h2h,,Providence Friars,,260.0,240.0,240.0,260.0,253.0,240.0,245.0,250.0,220.0,220.0,220.0,240.0,247.0,220.0,0.2817895251207917,3.6
betparx,260.0,0.014442290434850236,St. John's Red Storm @ Providence Friars,h2h,,Providence Friars,,260.0,240.0,240.0,260.0,253.0,240.0,245.0,250.0,220.0,220.0,220.0,240.0,247.0,220.0,0.2817895251207917,3.6
ballybet,150.0,-0.002674856015558724,Dayton Flyers @ Cincinnati Bearcats,h2h,,Dayton Flyers,,150.0,135.0,140.0,150.0,138.0,140.0,142.0,145.0,136.0,130.0,135.0,140.0,140.0,135.0,0.3989300575937765,2.5
betparx,150.0,-0.002674856015558724,Dayton Flyers @ Cincinnati Bearcats,h2h,,Dayton Flyers,,150.0,135.0,140.0,150.0,138.0,140.0,142.0,145.0,136.0,130.0,135.0,140.0,140.0,135.0,0.3989300575937765,2.5
fanduel,-105.0,-0.021267749666705416,Houston Christian Huskies @ Texas A&M Aggies,totals,,Under,140.5,-114.0,-110.0,,-114.0,,,,-110.0,-105.0,-120.0,-110.0,,,,0.5013018843170534,1.9523809523809523
ballybet,-109.0,-0.10665846224885556,Southern Jaguars @ Loyola Marymount Lions,spreads,,Southern Jaguars,9.5,-109.0,-115.0,,-109.0,,,,-120.0,,-125.0,,,,,0.465905395286482,1.9174311926605505
betparx,-109.0,-0.10665846224885556,Southern Jaguars @ Loyola Marymount Lions,spreads,,Southern Jaguars,9.5,-109.0,-115.0,,-109.0,,,,-120.0,,-125.0,,,,,0.465905395286482,1.9174311926605505
lowvig,-106.0,-0.10463345342278829,Appalachian St Mountaineers @ North Texas Mean Green,spreads,,North Texas Mean Green,-11.5,,-115.0,-110.0,,,-110.0,-112.0,-115.0,-110.0,-125.0,-115.0,-106.0,,,0.4607225919280798,1.9433962264150944
betmgm,-150.0,-0.028530229703863763,Longwood Lancers @ North Carolina Central Eagles,h2h,,Longwood Lancers,,-165.0,-150.0,,-165.0,,,-148.0,-155.0,-154.0,-165.0,-170.0,,-175.0,-154.0,0.5828818621776819,1.6666666666666663
betmgm,-400.0,-0.03467241304419055,Southern Jaguars @ Loyola Marymount Lions,h2h,,Loyola Marymount Lions,,-500.0,-400.0,,-500.0,,,-375.0,-425.0,-450.0,-460.0,-450.0,,-475.0,-400.0,0.7722620695646475,1.25
windcreek,-400.0,-0.03467241304419055,Southern Jaguars @ Loyola Marymount Lions,h2h,,Loyola Marymount Lions,,-500.0,-400.0,,-500.0,,,-375.0,-425.0,-450.0,-460.0,-450.0,,-475.0,-400.0,0.7722620695646475,1.25
lowvig,-101.0,-0.10568605716805568,Rider Broncs @ Pennsylvania Quakers,spreads,,Rider Broncs,4.0,,,-105.0,,-105.0,-110.0,-110.0,,,,-105.0,-101.0,-110.0,,0.4493816329653053,1.99009900990099
fanduel,-140.0,-0.0200497893818834,Delaware Blue Hens @ Saint Peter's Peacocks,h2h,,Saint Peter's Peacocks,,-148.0,-155.0,-145.0,-148.0,-145.0,-145.0,-155.0,-145.0,-140.0,-165.0,-155.0,-145.0,-149.0,-154.0,0.571637622860568,1.7142857142857144
espnbet,135.0,-0.019772376117552337,Longwood Lancers @ North Carolina Central Eagles,h2h,,North Carolina Central Eagles,,133.0,125.0,,133.0,,,124.0,135.0,128.0,120.0,130.0,,120.0,125.0,0.4171181378223181,2.35
espnbet,190.0,-0.015208651112585736,Holy Cross Crusaders @ Siena Saints,h2h,,Holy Cross Crusaders,,175.0,180.0,,175.0,,,170.0,190.0,195.0,175.0,180.0,,170.0,175.0,0.3395832237542808,2.9
espnbet,100.0,-0.109478361864364,Rider Broncs @ Pennsylvania Quakers,spreads,,Pennsylvania Quakers,-4.5,,-105.0,,,,,,100.0,-110.0,-105.0,,,,,0.445260819067818,2.0
draftkings,-162.0,-0.029774271139394237,Delaware St Hornets @ Alabama St Hornets,h2h,,Alabama St Hornets,,-167.0,-165.0,,-167.0,,,-162.0,-170.0,-170.0,-185.0,-180.0,,-190.0,-167.0,0.5999105651733516,1.617283950617284
betonlineag,-105.0,-0.02124131290670883,Valparaiso Beacons @ Western Michigan Broncos,totals,,Under,152.5,-115.0,-110.0,-105.0,-115.0,,,-112.0,-110.0,-110.0,-120.0,,-103.0,,,0.5013154250965638,1.9523809523809523
lowvig,-104.0,-0.1071890548421025,UIC Flames @ Seattle Redhawks,spreads,,Seattle Redhawks,-6.0,,,-108.0,,-110.0,-115.0,-112.0,,,,-110.0,-104.0,-110.0,,0.4551585210608889,1.9615384615384617
bovada,-175.0,-0.02218323035983849,Rider Broncs @ Pennsylvania Quakers,h2h,,Pennsylvania Quakers,,-182.0,-190.0,-180.0,-182.0,-180.0,-175.0,-180.0,-190.0,-200.0,-200.0,-200.0,-180.0,-189.0,-182.0,0.6222470352255574,1.5714285714285714
lowvig,-101.0,-0.10895588877172824,St. John's Red Storm @ Providence Friars,spreads,,Providence Friars,6.5,,,-105.0,,,,,-105.0,-110.0,-110.0,,-101.0,,,0.4477385832540072,1.99009900990099
lowvig,-106.0,-0.10712880058666996,Delaware St Hornets @ Alabama St Hornets,spreads,,Alabama St Hornets,-3.5,-108.0,-115.0,-110.0,-108.0,,,-112.0,-115.0,-112.0,-120.0,-115.0,-106.0,,,0.459438578338898,1.9433962264150944
ballybet,-106.0,-0.10773048075831537,Jackson St Tigers @ UTEP Miners,spreads,,UTEP Miners,-13.5,-106.0,,,-106.0,,-115.0,,-120.0,-106.0,-120.0,-115.0,,-110.0,,0.4591289759204785,1.9433962264150944
betparx,-106.0,-0.10773048075831537,Jackson St Tigers @ UTEP Miners,spreads,,UTEP Miners,-13.5,-106.0,,,-106.0,,-115.0,,-120.0,-106.0,-120.0,-115.0,,-110.0,,0.4591289759204785,1.9433962264150944
fanduel,-106.0,-0.10773048075831537,Jackson St Tigers @ UTEP Miners,spreads,,UTEP Miners,-13.5,-106.0,,,-106.0,,-115.0,,-120.0,-106.0,-120.0,-115.0,,-110.0,,0.4591289759204785,1.9433962264150944
espnbet,145.0,-0.019780884674711396,Delaware St Hornets @ Alabama St Hornets,h2h,,Delaware St Hornets,,138.0,140.0,,138.0,,,136.0,145.0,140.0,130.0,140.0,,130.0,135.0,0.4000894348266484,2.45
betmgm,-105.0,-0.11138895610945299,Houston Christian Huskies @ Texas A&M Aggies,spreads,,Houston Christian Huskies,32.5,,-105.0,,,,,,-105.0,-110.0,-120.0,,,,,0.4551422419927192,1.9523809523809523
espnbet,-105.0,-0.11138895610945299,Houston Christian Huskies @ Texas A&M Aggies,spreads,,Houston Christian Huskies,32.5,,-105.0,,,,,,-105.0,-110.0,-120.0,,,,,0.4551422419927192,1.9523809523809523
betonlineag,-700.0,-0.030484697397697325,Appalachian St Mountaineers @ North Texas Mean Green,h2h,,North Texas Mean Green,,-835.0,-750.0,-700.0,-835.0,-700.0,-800.0,-750.0,-900.0,-820.0,-920.0,-900.0,-700.0,-833.0,-833.0,0.8483258897770148,1.1428571428571428
betus,-700.0,-0.030484697397697325,Appalachian St Mountaineers @ North Texas Mean Green,h2h,,North Texas Mean Green,,-835.0,-750.0,-700.0,-835.0,-700.0,-800.0,-750.0,-900.0,-820.0,-920.0,-900.0,-700.0,-833.0,-833.0,0.8483258897770148,1.1428571428571428
lowvig,-700.0,-0.030484697397697325,Appalachian St Mountaineers @ North Texas Mean Green,h2h,,North Texas Mean Green,,-835.0,-750.0,-700.0,-835.0,-700.0,-800.0,-750.0,-900.0,-820.0,-920.0,-900.0,-700.0,-833.0,-833.0,0.8483258897770148,1.1428571428571428
draftkings,130.0,-0.01476653257930649,Delaware Blue Hens @ Saint Peter's Peacocks,h2h,,Delaware Blue Hens,,120.0,125.0,125.0,120.0,125.0,125.0,130.0,125.0,116.0,120.0,120.0,125.0,122.0,125.0,0.428362377139432,2.3
fanduel,340.0,0.002046893915550796,Southern Jaguars @ Loyola Marymount Lions,h2h,,Southern Jaguars,,360.0,310.0,,360.0,,,295.0,320.0,340.0,305.0,300.0,,285.0,300.0,0.2277379304353524,4.4
ballybet,-109.0,-0.11222887840651674,Florida A&M Rattlers @ BYU Cougars,spreads,,BYU Cougars,-33.5,-109.0,,,-109.0,,,,,-118.0,-120.0,,,,,0.4630002500176539,1.9174311926605505
betparx,-109.0,-0.11222887840651674,Florida A&M Rattlers @ BYU Cougars,spreads,,BYU Cougars,-33.5,-109.0,,,-109.0,,,,,-118.0,-120.0,,,,,0.4630002500176539,1.9174311926605505
fanduel,162.0,-0.010287232290960069,Rider Broncs @ Pennsylvania Quakers,h2h,,Rider Broncs,,148.0,155.0,160.0,148.0,155.0,150.0,150.0,160.0,162.0,140.0,155.0,160.0,152.0,145.0,0.3777529647744427,2.62
betonlineag,-160.0,-0.02326134358988685,Dayton Flyers @ Cincinnati Bearcats,h2h,,Cincinnati Bearcats,,-186.0,-165.0,-160.0,-186.0,-160.0,-165.0,-170.0,-170.0,-164.0,-180.0,-175.0,-160.0,-172.0,-167.0,0.6010699424062235,1.625
betus,-160.0,-0.02326134358988685,Dayton Flyers @ Cincinnati Bearcats,h2h,,Cincinnati Bearcats,,-186.0,-165.0,-160.0,-186.0,-160.0,-165.0,-170.0,-170.0,-164.0,-180.0,-175.0,-160.0,-172.0,-167.0,0.6010699424062235,1.625
lowvig,-160.0,-0.02326134358988685,Dayton Flyers @ Cincinnati Bearcats,h2h,,Cincinnati Bearcats,,-186.0,-165.0,-160.0,-186.0,-160.0,-165.0,-170.0,-170.0,-164.0,-180.0,-175.0,-160.0,-172.0,-167.0,0.6010699424062235,1.625
lowvig,-103.0,-0.021043661726938057,St. John's Red Storm @ Providence Friars,totals,,Under,143.0,,,-105.0,,-110.0,-110.0,-108.0,,,,-110.0,-103.0,-110.0,,0.4967118366607161,1.970873786407767
fanduel,-110.0,-0.11179167888276131,St. John's Red Storm @ Providence Friars,spreads,,St. John's Red Storm,-6.5,,,-115.0,,,,,-115.0,-110.0,-125.0,,-111.0,,,0.4652519777280774,1.9090909090909087
betmgm,-105.0,-0.02496960285472183,Delaware Blue Hens @ Saint Peter's Peacocks,totals,,Over,142.5,,-105.0,,,-110.0,-110.0,-110.0,-110.0,-110.0,-120.0,-110.0,,-110.0,,0.4994058131719717,1.9523809523809523
fanduel,-105.0,-0.024124269917251806,Florida A&M Rattlers @ BYU Cougars,totals,,Under,148.5,-110.0,-110.0,-110.0,-110.0,,,-112.0,-110.0,-105.0,-120.0,-110.0,-108.0,,,0.4998387885789686,1.9523809523809523
betmgm,-105.0,-0.023463858091256506,Akron Zips @ Yale Bulldogs,totals,,Over,155.5,-114.0,-105.0,-105.0,-114.0,,-110.0,-112.0,-110.0,-115.0,-120.0,-110.0,-103.0,-110.0,,0.5001770482947223,1.9523809523809523
betonlineag,-105.0,-0.023463858091256506,Akron Zips @ Yale Bulldogs,totals,,Over,155.5,-114.0,-105.0,-105.0,-114.0,,-110.0,-112.0,-110.0,-115.0,-120.0,-110.0,-103.0,-110.0,,0.5001770482947223,1.9523809523809523
lowvig,-104.0,-0.10857365935960372,Dayton Flyers @ Cincinnati Bearcats,spreads,,Cincinnati Bearcats,-3.5,-109.0,-110.0,-108.0,-109.0,-110.0,-110.0,-108.0,-110.0,-110.0,-115.0,-110.0,-104.0,-110.0,,0.4544526442480451,1.9615384615384617
espnbet,-105.0,-0.11288009526527976,UIC Flames @ Seattle Redhawks,spreads,,Seattle Redhawks,-6.5,-109.0,,,-109.0,,,,-105.0,,-115.0,,,,,0.4543784877909543,1.9523809523809523
mybookieag,-110.0,-0.029179863872228595,Dayton Flyers @ Cincinnati Bearcats,totals,,Over,136.5,,-115.0,,,,,,-115.0,,-120.0,-115.0,,-110.0,,0.5085248332097851,1.9090909090909087
ballybet,-165.0,-0.024005244342006904,Akron Zips @ Yale Bulldogs,h2h,,Yale Bulldogs,,-165.0,-175.0,-179.0,-165.0,-175.0,-170.0,-170.0,-175.0,-170.0,-185.0,-180.0,-179.0,-175.0,-182.0,0.607694847862524,1.606060606060606
betparx,-165.0,-0.024005244342006904,Akron Zips @ Yale Bulldogs,h2h,,Yale Bulldogs,,-165.0,-175.0,-179.0,-165.0,-175.0,-170.0,-170.0,-175.0,-170.0,-185.0,-180.0,-179.0,-175.0,-182.0,0.607694847862524,1.606060606060606
bovada,115.0,-0.021197882194954665,Valparaiso Beacons @ Western Michigan Broncos,h2h,,Valparaiso Beacons,,112.0,110.0,110.0,112.0,110.0,115.0,110.0,110.0,106.0,100.0,110.0,110.0,111.0,105.0,0.4552567989790909,2.15
fanduel,-105.0,-0.024155189527791165,Akron Zips @ Yale Bulldogs,totals,,Under,155.5,-107.0,-115.0,-115.0,-107.0,,-110.0,-108.0,-110.0,-105.0,-115.0,-110.0,-113.0,-110.0,,0.4998229517052777,1.9523809523809523
betonlineag,-250.0,-0.02883149626487247,UIC Flames @ Seattle Redhawks,h2h,,Seattle Redhawks,,-278.0,-275.0,-250.0,-278.0,-250.0,-260.0,-265.0,-270.0,-250.0,-285.0,-275.0,-250.0,-263.0,-286.0,0.693691788382234,1.4
betus,-250.0,-0.02883149626487247,UIC Flames @ Seattle Redhawks,h2h,,Seattle Redhawks,,-278.0,-275.0,-250.0,-278.0,-250.0,-260.0,-265.0,-270.0,-250.0,-285.0,-275.0,-250.0,-263.0,-286.0,0.693691788382234,1.4
fanduel,-250.0,-0.02883149626487247,UIC Flames @ Seattle Redhawks,h2h,,Seattle Redhawks,,-278.0,-275.0,-250.0,-278.0,-250.0,-260.0,-265.0,-270.0,-250.0,-285.0,-275.0,-250.0,-263.0,-286.0,0.693691788382234,1.4
lowvig,-250.0,-0.02883149626487247,UIC Flames @ Seattle Redhawks,h2h,,Seattle Redhawks,,-278.0,-275.0,-250.0,-278.0,-250.0,-260.0,-265.0,-270.0,-250.0,-285.0,-275.0,-250.0,-263.0,-286.0,0.693691788382234,1.4
betonlineag,-285.0,-0.029785849724578428,St. John's Red Storm @ Providence Friars,h2h,,St. John's Red Storm,,-335.0,-300.0,-285.0,-335.0,-305.0,-290.0,-305.0,-300.0,-275.0,-325.0,-325.0,-285.0,-323.0,-286.0,0.7182104748792083,1.350877192982456
lowvig,-285.0,-0.029785849724578428,St. John's Red Storm @ Providence Friars,h2h,,St. John's Red Storm,,-335.0,-300.0,-285.0,-335.0,-305.0,-290.0,-305.0,-300.0,-275.0,-325.0,-325.0,-285.0,-323.0,-286.0,0.7182104748792083,1.350877192982456
betus,253.0,-0.005282976323605415,St. John's Red Storm @ Providence Friars,h2h,,Providence Friars,,260.0,240.0,240.0,260.0,253.0,240.0,245.0,250.0,220.0,220.0,220.0,240.0,247.0,220.0,0.2817895251207917,3.53
lowvig,-103.0,-0.1142474743838372,Florida A&M Rattlers @ BYU Cougars,spreads,,Florida A&M Rattlers,34.0,,,-107.0,,,,-108.0,,,,-110.0,-103.0,,,0.449421232209186,1.970873786407767
bovada,-105.0,-0.1116438917776551,Jackson St Tigers @ UTEP Miners,spreads,,Jackson St Tigers,13.5,-115.0,,,-115.0,,-105.0,,100.0,-114.0,-115.0,-105.0,,-110.0,,0.4550116651870547,1.9523809523809523
hardrockbet,-105.0,-0.1116438917776551,Jackson St Tigers @ UTEP Miners,spreads,,Jackson St Tigers,13.5,-115.0,,,-115.0,,-105.0,,100.0,-114.0,-115.0,-105.0,,-110.0,,0.4550116651870547,1.9523809523809523
fanduel,-110.0,-0.030011147706297425,Appalachian St Mountaineers @ North Texas Mean Green,totals,,Under,123.5,,-115.0,-115.0,,,,,-115.0,-110.0,-120.0,,-113.0,,,0.508089398820511,1.9090909090909087
ballybet,133.0,-0.028114738873998735,Longwood Lancers @ North Carolina Central Eagles,h2h,,North Carolina Central Eagles,,133.0,125.0,,133.0,,,124.0,135.0,128.0,120.0,130.0,,120.0,125.0,0.4171181378223181,2.33
betparx,133.0,-0.028114738873998735,Longwood Lancers @ North Carolina Central Eagles,h2h,,North Carolina Central Eagles,,133.0,125.0,,133.0,,,124.0,135.0,128.0,120.0,130.0,,120.0,125.0,0.4171181378223181,2.33
windcreek,-286.0,-0.030666981456732856,St. John's Red Storm @ Providence Friars,h2h,,St. John's Red Storm,,-335.0,-300.0,-285.0,-335.0,-305.0,-290.0,-305.0,-300.0,-275.0,-325.0,-325.0,-285.0,-323.0,-286.0,0.7182104748792083,1.3496503496503496
betmgm,-105.0,-0.11170865515789186,Akron Zips @ Yale Bulldogs,spreads,,Akron Zips,3.5,-114.0,-105.0,,-114.0,-105.0,-105.0,-110.0,-105.0,-110.0,-120.0,-110.0,,-110.0,,0.4549784936996164,1.9523809523809523
betus,-105.0,-0.11170865515789186,Akron Zips @ Yale Bulldogs,spreads,,Akron Zips,3.5,-114.0,-105.0,,-114.0,-105.0,-105.0,-110.0,-105.0,-110.0,-120.0,-110.0,,-110.0,,0.4549784936996164,1.9523809523809523
bovada,-105.0,-0.11170865515789186,Akron Zips @ Yale Bulldogs,spreads,,Akron Zips,3.5,-114.0,-105.0,,-114.0,-105.0,-105.0,-110.0,-105.0,-110.0,-120.0,-110.0,,-110.0,,0.4549784936996164,1.9523809523809523
espnbet,-105.0,-0.11170865515789186,Akron Zips @ Yale Bulldogs,spreads,,Akron Zips,3.5,-114.0,-105.0,,-114.0,-105.0,-105.0,-110.0,-105.0,-110.0,-120.0,-110.0,,-110.0,,0.4549784936996164,1.9523809523809523
draftkings,800.0,0.049417187287706055,Jackson St Tigers @ UTEP Miners,h2h,,Jackson St Tigers,,575.0,775.0,790.0,575.0,780.0,,800.0,900.0,680.0,665.0,700.0,790.0,748.0,700.0,0.116601909698634,9.0
ballybet,-105.0,-0.026157516945547687,UIC Flames @ Seattle Redhawks,totals,,Under,147.5,-105.0,-110.0,-109.0,-105.0,-110.0,-110.0,-112.0,-110.0,-110.0,-120.0,-110.0,-107.0,-110.0,,0.4987973693693536,1.9523809523809523
betparx,-105.0,-0.026157516945547687,UIC Flames @ Seattle Redhawks,totals,,Under,147.5,-105.0,-110.0,-109.0,-105.0,-110.0,-110.0,-112.0,-110.0,-110.0,-120.0,-110.0,-107.0,-110.0,,0.4987973693693536,1.9523809523809523
espnbet,-105.0,-0.0279046977510361,Delaware St Hornets @ Alabama St Hornets,totals,,Over,148.5,-106.0,-110.0,-110.0,-106.0,,,-112.0,-105.0,,-120.0,-110.0,-108.0,-110.0,,0.4979024718836157,1.9523809523809523
