value_book,event_id,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds,EV
betmgm,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_receptions,Josh Jacobs,Under,2.5,-165.0,-130.0,-149.0,-165.0,-145.0,-145.0,-160.0,-135.0,-145.0,,0.5593909334944107,1.7692307692307692,-0.010308348432965686
fanduel,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Jaylen Waddle,Yes,,200.0,210.0,200.0,205.0,205.0,225.0,240.0,190.0,195.0,,0.2849306976295006,3.4,-0.03123562805969804
ballybet,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_pass_completions,Jordan Love,Over,20.5,-113.0,-130.0,-139.0,,-125.0,-130.0,-120.0,-140.0,-130.0,,0.524443223740705,1.8849557522123892,-0.011447728701149185
fanduel,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_receptions,Sam LaPorta,Over,3.5,102.0,-115.0,-101.0,105.0,-110.0,-110.0,108.0,-120.0,-105.0,,0.4779836031827426,2.08,-0.005794105379895442
espnbet,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,Craig Reynolds,Yes,,480.0,500.0,900.0,1000.0,950.0,1100.0,1100.0,,,,0.098371964296145,12.0,0.18046357155373993
fanduel,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,Craig Reynolds,Yes,,480.0,500.0,900.0,1000.0,950.0,1100.0,1100.0,,,,0.098371964296145,12.0,0.18046357155373993
betonlineag,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_sacks,Devonte Wyatt,Under,0.5,,,-333.0,,,-400.0,,-430.0,-400.0,,0.7407289442173163,1.3003003003003002,-0.03682993139309931
betmgm,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_last_td,Keenan Allen,Yes,,1100.0,2200.0,,,1300.0,1800.0,1200.0,885.0,1100.0,,0.0643785198283828,23.0,0.4807059560528044
betmgm,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_receptions,Jaylen Waddle,Under,3.5,-130.0,-105.0,-116.0,,-120.0,-125.0,-120.0,-110.0,-125.0,,0.5064539458936677,1.9523809523809523,-0.01120896277902983
fanduel,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_pass_interceptions,Jared Goff,Under,0.5,-167.0,-160.0,-156.0,,-165.0,-155.0,-140.0,-170.0,-160.0,,0.5737344930508708,1.7142857142857144,-0.016455154769935754
bovada,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_receptions,Tyreek Hill,Over,5.5,120.0,120.0,110.0,135.0,125.0,,,110.0,120.0,,0.4241406740740721,2.35,-0.003269415925930552
betonlineag,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_receptions,Tyreek Hill,Under,5.5,-157.0,-160.0,-143.0,-180.0,-165.0,,,-170.0,-160.0,,0.5758593259259278,1.6993006993006992,-0.02144184475524158
betonlineag,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Dontayvion Wicks,Yes,,190.0,275.0,290.0,290.0,290.0,225.0,310.0,210.0,210.0,,0.2507469338145175,3.9,-0.022086958123381684
bovada,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Dontayvion Wicks,Yes,,190.0,275.0,290.0,290.0,290.0,225.0,310.0,210.0,210.0,,0.2507469338145175,3.9,-0.022086958123381684
draftkings,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Dontayvion Wicks,Yes,,190.0,275.0,290.0,290.0,290.0,225.0,310.0,210.0,210.0,,0.2507469338145175,3.9,-0.022086958123381684
fliff,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Malik Heath,Yes,,750.0,550.0,600.0,600.0,600.0,750.0,900.0,950.0,800.0,,0.1091093165791271,10.5,0.14564782408083454
betmgm,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_last_td,DJ Moore,Yes,,850.0,1500.0,,,950.0,1300.0,1100.0,735.0,900.0,,0.0800118895896731,16.0,0.2801902334347697
