value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
fanduel,250.0,0.01982939244301818,New England Patriots @ Arizona Cardinals,player_anytime_td,Kyler Murray,Yes,,175.0,,180.0,185.0,180.0,225.0,250.0,205.0,,,0.2913798264122909,3.5
fliff,450.0,0.1059499542128064,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Stone Smartt,Yes,,225.0,350.0,325.0,350.0,340.0,360.0,430.0,450.0,300.0,,0.2010818098568739,5.5
fanduel,250.0,0.022032440887064908,New York Jets @ Jacksonville Jaguars,player_anytime_td,Travis Etienne Jr.,Yes,,200.0,200.0,160.0,150.0,165.0,210.0,250.0,230.0,230.0,,0.2920092688248757,3.5
betonlineag,145.0,0.02608968774400111,Pittsburgh Steelers @ Philadelphia Eagles,player_sacks,Alex Highsmith,Over,0.5,,,145.0,,,120.0,,110.0,120.0,,0.418812117446531,2.45
fanduel,850.0,0.200828157349896,New England Patriots @ Arizona Cardinals,player_tds_over,Rhamondre Stevenson,Over,1.5,500.0,,500.0,,,,850.0,,,,0.126402963931568,9.5
fanduel,490.0,0.10456026414655595,Cincinnati Bengals @ Tennessee Titans,player_tds_over,Chase Brown,Over,1.5,370.0,375.0,250.0,320.0,,,490.0,,425.0,,0.1872136040926366,5.9
betonlineag,-114.0,0.002804048477664578,Pittsburgh Steelers @ Philadelphia Eagles,player_sacks,T.J. Watt,Over,0.5,,,-114.0,,,-135.0,,-150.0,-140.0,,0.5342040258245503,1.8771929824561404
fliff,120.0,-0.03471138854899469,Buffalo Bills @ Detroit Lions,player_anytime_td,Amon-Ra St. Brown,Yes,,-117.0,100.0,-111.0,100.0,-110.0,-110.0,100.0,120.0,125.0,,0.4387675506595478,2.2
hardrockbet,350.0,0.06168580425439818,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Justin Herbert,Yes,,270.0,400.0,220.0,185.0,220.0,200.0,290.0,335.0,350.0,,0.2359301787231996,4.5
hardrockbet,220.0,0.003951740497341483,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Brock Bowers,Yes,,160.0,,160.0,162.0,165.0,150.0,,210.0,220.0,,0.3137349189054192,3.2
bovada,2500.0,0.8637566137566115,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Ryan Miller,Yes,,1700.0,1500.0,650.0,2500.0,650.0,,1300.0,,,,0.0716829466829466,26.0
fanduel,950.0,0.3104102199554555,Buffalo Bills @ Detroit Lions,player_anytime_td,Curtis Samuel,Yes,,525.0,650.0,550.0,500.0,550.0,600.0,950.0,570.0,600.0,,0.124800973329091,10.5
