value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
espnbet,130.0,-0.0020854969685395464,Cincinnati Bengals @ Dallas Cowboys,player_rush_attempts,Cooper Rush,Under,1.5,,110.0,120.0,,115.0,130.0,,105.0,,,0.4338758708832437,2.3
fanduel,360.0,0.0033339790883670783,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Mike Gesicki,Yes,,240.0,275.0,300.0,320.0,320.0,250.0,360.0,330.0,350.0,,0.2181160824105146,4.6
fanduel,650.0,0.08305240662346636,Cincinnati Bengals @ Dallas Cowboys,player_last_td,Ja'Marr Chase,Yes,,540.0,450.0,,450.0,600.0,475.0,650.0,450.0,500.0,,0.1444069875497955,7.5
betonlineag,110.0,-0.010045755834048209,Cincinnati Bengals @ Dallas Cowboys,player_sacks,Micah Parsons,Under,0.5,100.0,,110.0,,,-105.0,,-110.0,-105.0,,0.4714067829361675,2.1
fanduel,460.0,0.02222222222222192,Cincinnati Bengals @ Dallas Cowboys,player_tds_over,Ja'Marr Chase,Over,1.5,425.0,400.0,300.0,400.0,400.0,,460.0,320.0,350.0,,0.1825396825396825,5.6
fanduel,550.0,0.05383118924592334,Cincinnati Bengals @ Dallas Cowboys,player_1st_td,Ja'Marr Chase,Yes,,460.0,450.0,,265.0,500.0,450.0,550.0,445.0,475.0,475.0,0.1621278752686036,6.5
fanduel,380.0,0.003641978539115409,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Brandin Cooks,Yes,,350.0,310.0,300.0,320.0,320.0,300.0,380.0,300.0,300.0,,0.2090920788623157,4.8
betonlineag,-500.0,-0.03643653520704593,Cincinnati Bengals @ Dallas Cowboys,player_sacks,BJ Hill,Under,0.5,,,-500.0,,,-650.0,,-705.0,-600.0,,0.8029695539941284,1.2
ballybet,-106.0,-0.013705533196172182,Cincinnati Bengals @ Dallas Cowboys,player_receptions,CeeDee Lamb,Over,6.5,-106.0,-120.0,-122.0,-120.0,-120.0,-120.0,,-125.0,-120.0,,0.5075107450543969,1.9433962264150944
fanduel,102.0,-0.011160779317843206,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Brandin Cooks,Over,2.5,100.0,-110.0,-118.0,100.0,-115.0,-115.0,102.0,-135.0,-105.0,,0.489524366674335,2.02
ballybet,-155.0,-0.02448664250935495,Cincinnati Bengals @ Dallas Cowboys,player_sacks,Osa Odighizuwa,Under,0.5,-155.0,,-169.0,,,-170.0,,-195.0,-180.0,,0.5929590996511765,1.6451612903225803
betmgm,500.0,0.026387174956224335,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Joe Burrow,Yes,,340.0,500.0,450.0,475.0,475.0,400.0,400.0,345.0,375.0,,0.1710645291593707,6.0
hardrockbet,5000.0,1.163057440789696,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Charlie Jones,Yes,,1400.0,2000.0,1900.0,2000.0,2000.0,1800.0,2000.0,1730.0,5000.0,,0.0424128909958764,51.0
betmgm,100.0,-0.014116767201587388,Cincinnati Bengals @ Dallas Cowboys,player_pass_completions,Cooper Rush,Under,23.5,,100.0,-112.0,100.0,-110.0,-115.0,-132.0,-110.0,-120.0,,0.4929416163992063,2.0
bovada,100.0,-0.014116767201587388,Cincinnati Bengals @ Dallas Cowboys,player_pass_completions,Cooper Rush,Under,23.5,,100.0,-112.0,100.0,-110.0,-115.0,-132.0,-110.0,-120.0,,0.4929416163992063,2.0
betmgm,165.0,-0.060373937441997816,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,CeeDee Lamb,Yes,,138.0,165.0,150.0,155.0,155.0,135.0,150.0,135.0,140.0,,0.3545758726633971,2.65
ballybet,117.0,-0.008421355011335008,Cincinnati Bengals @ Dallas Cowboys,player_pass_interceptions,Cooper Rush,Under,0.5,117.0,105.0,104.0,105.0,110.0,-105.0,106.0,-105.0,105.0,,0.4569486843265737,2.17
betmgm,700.0,0.057830253482427096,Cincinnati Bengals @ Dallas Cowboys,player_tds_over,Rico Dowdle,Over,1.5,500.0,700.0,450.0,550.0,550.0,,650.0,550.0,575.0,,0.1322287816853034,8.0
hardrockbet,350.0,-0.01847762915268425,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Mike Gesicki,Yes,,240.0,275.0,300.0,320.0,320.0,250.0,360.0,330.0,350.0,,0.2181160824105146,4.5
draftkings,450.0,0.005618701379982216,Cincinnati Bengals @ Dallas Cowboys,player_1st_td,Chase Brown,Yes,,375.0,400.0,,235.0,450.0,425.0,420.0,350.0,375.0,475.0,0.1828397638872695,5.5
betonlineag,152.0,-0.007566974354476397,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Rico Dowdle,Over,3.5,,135.0,152.0,140.0,140.0,135.0,,125.0,135.0,,0.3938226292244141,2.52
espnbet,-125.0,-0.02250763178783277,Cincinnati Bengals @ Dallas Cowboys,player_pass_interceptions,Cooper Rush,Over,0.5,-152.0,-140.0,-135.0,-135.0,-145.0,-125.0,-138.0,-145.0,-135.0,,0.5430513156734262,1.8
betonlineag,110.0,-0.03834724935290279,Cincinnati Bengals @ Dallas Cowboys,player_sacks,Trey Hendrickson,Over,0.5,,,110.0,,,105.0,-108.0,-105.0,100.0,,0.4579298812605225,2.1
fanduel,500.0,0.008380383507219924,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Jalen Tolbert,Yes,,375.0,450.0,450.0,450.0,450.0,400.0,500.0,370.0,375.0,,0.1680633972512033,6.0
hardrockbet,260.0,-0.0018796667482612328,Cincinnati Bengals @ Dallas Cowboys,player_sacks,Chauncey Golston,Over,0.5,210.0,,230.0,,,250.0,205.0,245.0,260.0,,0.277255648125483,3.6
espnbet,105.0,-0.016744640602011862,Cincinnati Bengals @ Dallas Cowboys,player_pass_interceptions,Joe Burrow,Over,0.5,100.0,-105.0,-103.0,-105.0,-110.0,105.0,-114.0,-110.0,-105.0,,0.4796367606819455,2.05
betmgm,100.0,-0.03016691643174907,Cincinnati Bengals @ Dallas Cowboys,player_rush_reception_yds,KaVontae Turpin,Under,12.5,,100.0,,,,-110.0,,-115.0,-110.0,,0.4849165417841254,2.0
ballybet,-104.0,-0.02244785942954164,Cincinnati Bengals @ Dallas Cowboys,player_pass_completions,Joe Burrow,Over,24.5,-104.0,-115.0,-115.0,-115.0,-115.0,-115.0,-118.0,-120.0,-115.0,,0.4983599148006258,1.9615384615384617
espnbet,100.0,-0.021840806191791073,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Jalen Tolbert,Under,2.5,-104.0,-105.0,-112.0,-115.0,-110.0,100.0,-122.0,-110.0,-115.0,,0.4890795969041044,2.0
ballybet,100.0,-0.02095126665132996,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Brandin Cooks,Over,2.5,100.0,-110.0,-118.0,100.0,-115.0,-115.0,102.0,-135.0,-105.0,,0.489524366674335,2.0
bovada,100.0,-0.02095126665132996,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Brandin Cooks,Over,2.5,100.0,-110.0,-118.0,100.0,-115.0,-115.0,102.0,-135.0,-105.0,,0.489524366674335,2.0
fanduel,850.0,0.07273076454662064,Cincinnati Bengals @ Dallas Cowboys,player_last_td,Rico Dowdle,Yes,,600.0,650.0,,650.0,650.0,650.0,850.0,655.0,750.0,,0.1129190278470127,9.5
betonlineag,800.0,0.06023538351210589,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Luke Schoonmaker,Yes,,540.0,500.0,800.0,800.0,800.0,450.0,600.0,1005.0,600.0,,0.1178039315013451,9.0
bovada,800.0,0.06023538351210589,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Luke Schoonmaker,Yes,,540.0,500.0,800.0,800.0,800.0,450.0,600.0,1005.0,600.0,,0.1178039315013451,9.0
draftkings,800.0,0.06023538351210589,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Luke Schoonmaker,Yes,,540.0,500.0,800.0,800.0,800.0,450.0,600.0,1005.0,600.0,,0.1178039315013451,9.0
draftkings,900.0,0.08283896802978097,Cincinnati Bengals @ Dallas Cowboys,player_1st_td,Tee Higgins,Yes,,750.0,800.0,,450.0,900.0,700.0,750.0,660.0,750.0,800.0,0.1082838968029781,10.0
ballybet,-114.0,-0.02655238560597417,Cincinnati Bengals @ Dallas Cowboys,player_pass_attempts,Cooper Rush,Under,36.5,-114.0,-130.0,-123.0,-130.0,-125.0,-130.0,-114.0,-135.0,-130.0,,0.5185655515930792,1.8771929824561404
fanduel,-114.0,-0.02655238560597417,Cincinnati Bengals @ Dallas Cowboys,player_pass_attempts,Cooper Rush,Under,36.5,-114.0,-130.0,-123.0,-130.0,-125.0,-130.0,-114.0,-135.0,-130.0,,0.5185655515930792,1.8771929824561404
fanduel,1000.0,0.10268755334753965,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Cooper Rush,Yes,,650.0,750.0,800.0,800.0,800.0,800.0,1000.0,690.0,750.0,,0.1002443230315945,11.0
fanduel,-114.0,-0.026544791941889856,Cincinnati Bengals @ Dallas Cowboys,player_rush_attempts,Rico Dowdle,Under,15.5,-117.0,-125.0,-130.0,,-130.0,-125.0,-114.0,-135.0,,,0.5185695968160026,1.8771929824561404
fanduel,700.0,0.037978725139814484,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,KaVontae Turpin,Yes,,600.0,600.0,550.0,550.0,550.0,500.0,700.0,555.0,600.0,,0.1297473406424768,8.0
fanduel,-114.0,-0.02317777882400307,Cincinnati Bengals @ Dallas Cowboys,player_pass_interceptions,Joe Burrow,Under,0.5,-129.0,-125.0,-125.0,-125.0,-120.0,-135.0,-114.0,-130.0,-125.0,,0.5203632393180544,1.8771929824561404
hardrockbet,-170.0,-0.09435074965131518,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Chase Brown,Yes,,-205.0,-200.0,-200.0,-190.0,-185.0,-190.0,-180.0,-175.0,-170.0,,0.5702236020713941,1.5882352941176472
fanduel,550.0,0.004209280893510803,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Khalil Herbert,Yes,,390.0,400.0,450.0,450.0,450.0,375.0,550.0,595.0,650.0,,0.1544937355220786,6.5
betmgm,165.0,-0.009422859513418258,Cincinnati Bengals @ Dallas Cowboys,player_pass_tds,Joe Burrow,Under,1.5,155.0,165.0,158.0,155.0,155.0,145.0,140.0,135.0,145.0,,0.3738026945232384,2.65
betonlineag,-110.0,-0.025455609105548782,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Brandin Cooks,Under,2.5,-129.0,-120.0,-110.0,-130.0,-115.0,-115.0,-132.0,-110.0,-125.0,,0.510475633325665,1.9090909090909087
fliff,-110.0,-0.025455609105548782,Cincinnati Bengals @ Dallas Cowboys,player_receptions,Brandin Cooks,Under,2.5,-129.0,-120.0,-110.0,-130.0,-115.0,-115.0,-132.0,-110.0,-125.0,,0.510475633325665,1.9090909090909087
draftkings,600.0,0.010848912848568482,Cincinnati Bengals @ Dallas Cowboys,player_last_td,Ja'Marr Chase,Yes,,540.0,450.0,,450.0,600.0,475.0,650.0,450.0,500.0,,0.1444069875497955,7.0
betmgm,1100.0,0.10990458156341587,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Tanner Hudson,Yes,,550.0,1100.0,1100.0,1100.0,1100.0,1000.0,950.0,600.0,650.0,,0.092492048463618,12.0
betonlineag,1100.0,0.10990458156341587,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Tanner Hudson,Yes,,550.0,1100.0,1100.0,1100.0,1100.0,1000.0,950.0,600.0,650.0,,0.092492048463618,12.0
bovada,1100.0,0.10990458156341587,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Tanner Hudson,Yes,,550.0,1100.0,1100.0,1100.0,1100.0,1000.0,950.0,600.0,650.0,,0.092492048463618,12.0
draftkings,1100.0,0.10990458156341587,Cincinnati Bengals @ Dallas Cowboys,player_anytime_td,Tanner Hudson,Yes,,550.0,1100.0,1100.0,1100.0,1100.0,1000.0,950.0,600.0,650.0,,0.092492048463618,12.0
fanduel,-184.0,-0.0334780719815202,Cincinnati Bengals @ Dallas Cowboys,player_pass_tds,Joe Burrow,Over,1.5,-205.0,-225.0,-208.0,-210.0,-215.0,-190.0,-184.0,-205.0,-190.0,,0.6261973054767616,1.5434782608695652
hardrockbet,6000.0,1.0451056006617088,Cincinnati Bengals @ Dallas Cowboys,player_last_td,Luke Schoonmaker,Yes,,2500.0,3000.0,,2200.0,3500.0,2500.0,1800.0,1750.0,6000.0,,0.0335263213223231,61.0
