value_book,value_book_price,EV,game,market,name,description,point,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,190.0,-0.012745342650624769,Sacramento Kings @ Chicago Bulls,player_points_alternate,Keegan Murray,Over,14.5,149.0,,145.0,,190.0,,165.0,0.3404326404653018,2.9
draftkings,114.0,0.022914912719253167,Philadelphia 76ers @ Orlando Magic,player_threes,Cole Anthony,Under,1.5,,,114.0,-110.0,100.0,-120.0,-115.0,0.4779976227660061,2.14
draftkings,-225.0,-0.07247997836882847,Indiana Pacers @ Cleveland Cavaliers,player_assists_alternate,Tyrese Haliburton,Over,7.5,-333.0,,-225.0,,-240.0,,-275.0,0.6421292457446572,1.4444444444444444
fanduel,450.0,0.09023606440935561,Sacramento Kings @ Chicago Bulls,player_rebounds_alternate,Malik Monk,Over,5.5,313.0,,360.0,,450.0,,325.0,0.1982247389835192,5.5
fanduel,120.0,-0.04800486253937597,Indiana Pacers @ Cleveland Cavaliers,player_rebounds_alternate,Andrew Nembhard,Over,3.5,103.0,,,,120.0,,100.0,0.4327250624821018,2.2
hardrockbet,115.0,-0.04456414917708662,Denver Nuggets @ Dallas Mavericks,player_rebounds_alternate,P.J. Washington,Over,7.5,-108.0,,-115.0,,-105.0,,115.0,0.4443887678246109,2.15
fanduel,185.0,-0.017641839344433197,Sacramento Kings @ Chicago Bulls,player_assists_alternate,Domantas Sabonis,Over,7.5,155.0,,155.0,,185.0,,145.0,0.3446870739142339,2.85
draftkings,320.0,0.03522026149245705,Oklahoma City Thunder @ Washington Wizards,player_points_alternate,Luguentz Dort,Over,14.5,218.0,,320.0,,290.0,,250.0,0.2464810146410612,4.2
espnbet,-600.0,-0.07747773281140291,Oklahoma City Thunder @ Washington Wizards,player_assists_alternate,Carlton Carrington,Over,1.5,-1000.0,,,-600.0,,-770.0,,0.7907333718759402,1.1666666666666667
fanduel,145.0,-0.034620374113001784,Indiana Pacers @ Cleveland Cavaliers,player_rebounds_alternate,Jarrett Allen,Over,11.5,122.0,,125.0,,145.0,,115.0,0.3940325003620401,2.45
hardrockbet,-150.0,-0.055530618446630764,Milwaukee Bucks @ New York Knicks,player_rebounds_alternate,OG Anunoby,Over,3.5,-286.0,,-200.0,,-160.0,-155.0,-150.0,0.5666816289320217,1.6666666666666663
fanduel,650.0,0.14267987208939936,Sacramento Kings @ Chicago Bulls,player_assists_alternate,Malik Monk,Over,9.5,388.0,,475.0,,650.0,,,0.1523573162785866,7.5
hardrockbet,325.0,0.04408888769162178,Denver Nuggets @ Dallas Mavericks,player_double_double,P.J. Washington,Yes,,,,205.0,320.0,250.0,,325.0,0.2456679735744992,4.25
bovada,-125.0,0.014825913501903543,Milwaukee Bucks @ New York Knicks,player_threes,Karl-Anthony Towns,Over,1.5,-159.0,-125.0,-160.0,-150.0,-178.0,,-145.0,0.5637921741677242,1.8
fanduel,550.0,0.1049430641821949,Indiana Pacers @ Cleveland Cavaliers,player_rebounds_alternate,Andrew Nembhard,Over,5.5,355.0,,,,550.0,,400.0,0.1699912406434146,6.5
fanduel,-106.0,0.014958172352608878,Philadelphia 76ers @ Orlando Magic,player_points,Tristan da Silva,Over,11.5,,,-130.0,-130.0,-106.0,-140.0,-130.0,0.5222600304338667,1.9433962264150944
