value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,-390.0,-0.07087879913966877,New Orleans Pelicans @ Chicago Bulls,player_assists_alternate,Trey Murphy III,Over,1.5,,,-1000.0,,,-425.0,-390.0,,0.739504629256182,1.2564102564102564
betonlineag,-370.0,-0.0705417811396073,Cleveland Cavaliers @ Indiana Pacers,player_assists_alternate,Max Strus,Over,1.5,,,-370.0,,,-550.0,-450.0,,0.731701151017756,1.2702702702702702
fanduel,-155.0,0.03343971841544713,Sacramento Kings @ Milwaukee Bucks,player_rebounds_alternate,Domantas Sabonis,Over,13.5,,,-204.0,-200.0,-200.0,,-155.0,,0.628169240605468,1.6451612903225803
fanduel,-170.0,0.03219514859852235,Sacramento Kings @ Milwaukee Bucks,player_rebounds_alternate,Giannis Antetokounmpo,Over,11.5,,,-213.0,-225.0,-225.0,-225.0,-170.0,-240.0,0.6499006491175882,1.5882352941176472
fanduel,-550.0,-0.09476572608631328,New Orleans Pelicans @ Chicago Bulls,player_assists_alternate,Nikola Vucevic,Over,1.5,,,-1667.0,,,-650.0,-550.0,,0.76596746254235,1.181818181818182
ballybet,800.0,0.39614631387432997,Phoenix Suns @ Atlanta Hawks,player_double_double,Dyson Daniels,Yes,,800.0,400.0,,500.0,400.0,450.0,700.0,375.0,0.1551273682082589,9.0
fanduel,105.0,0.06493192797540592,Phoenix Suns @ Atlanta Hawks,player_assists_alternate,Dyson Daniels,Over,5.5,,,,-130.0,-120.0,,105.0,-120.0,0.5194789892562957,2.05
fanduel,145.0,0.08650755779164432,Sacramento Kings @ Milwaukee Bucks,player_rebounds_alternate,Domantas Sabonis,Over,15.5,,,119.0,120.0,110.0,,145.0,,0.4434724725680181,2.45
betmgm,160.0,0.09928496478832938,Denver Nuggets @ Dallas Mavericks,player_triple_double,Nikola Jokic,Yes,,120.0,160.0,,-105.0,-105.0,145.0,105.0,130.0,0.4228019095339728,2.6
betmgm,310.0,0.14759870505838224,Phoenix Suns @ Atlanta Hawks,player_assists_alternate,Zaccharie Risacher,Over,2.5,,310.0,,,225.0,210.0,,220.0,0.2799021231849713,4.1
espnbet,375.0,0.17287454284534065,Denver Nuggets @ Dallas Mavericks,player_assists_alternate,Nikola Jokic,Over,11.5,,,199.0,,235.0,375.0,260.0,350.0,0.2469209563884928,4.75
fanduel,145.0,0.07505175983436863,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Vit Krejci,Over,9.5,,130.0,,,120.0,,145.0,,0.4387966366670892,2.45
espnbet,-225.0,-0.011444671731635436,Denver Nuggets @ Dallas Mavericks,player_assists_alternate,Klay Thompson,Over,1.5,,,-333.0,,,-225.0,-270.0,,0.6843844580319447,1.4444444444444444
draftkings,120.0,0.07752165904138608,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Myles Turner,Over,7.5,,,-105.0,-110.0,120.0,-110.0,110.0,-115.0,0.4897825722915391,2.2
bovada,250.0,0.13125047998997552,Cleveland Cavaliers @ Indiana Pacers,player_points_alternate,Georges Niang,Over,9.5,,200.0,,250.0,155.0,180.0,250.0,,0.3232144228542787,3.5
fanduel,250.0,0.13125047998997552,Cleveland Cavaliers @ Indiana Pacers,player_points_alternate,Georges Niang,Over,9.5,,200.0,,250.0,155.0,180.0,250.0,,0.3232144228542787,3.5
fanduel,270.0,0.14834709169684523,Sacramento Kings @ Milwaukee Bucks,player_points_alternate,Damian Lillard,Over,29.5,,,,230.0,225.0,180.0,270.0,190.0,0.3103640788369852,3.7
fanduel,-340.0,-0.06082082981074577,Brooklyn Nets @ Portland Trail Blazers,player_rebounds_alternate,Deandre Ayton,Over,7.5,,,,,-450.0,-475.0,-340.0,-475.0,0.7257293587826055,1.2941176470588236
hardrockbet,160.0,0.09775981258494981,Cleveland Cavaliers @ Indiana Pacers,player_points_alternate,Andrew Nembhard,Over,14.5,,140.0,,110.0,110.0,120.0,120.0,160.0,0.4222153125326729,2.6
betmgm,310.0,0.12818359667099144,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Georges Niang,Over,4.5,,310.0,208.0,,215.0,240.0,,,0.2751667308953638,4.1
fanduel,-120.0,0.054306429591193695,Oklahoma City Thunder @ Philadelphia 76ers,player_rebounds_alternate,Tyrese Maxey,Over,3.5,,,-143.0,-165.0,-160.0,-145.0,-120.0,-155.0,0.5750762343224693,1.8333333333333333
fanduel,330.0,0.1423053645275867,Sacramento Kings @ Milwaukee Bucks,player_rebounds_alternate,Giannis Antetokounmpo,Over,15.5,,,224.0,250.0,270.0,,330.0,,0.2656524103552527,4.3
betonlineag,-115.0,0.04147398549942127,Cleveland Cavaliers @ Indiana Pacers,player_points_rebounds_assists_alternate,Max Strus,Over,14.5,,,-115.0,,-145.0,-140.0,,,0.5570674806159697,1.869565217391304
bovada,145.0,0.053209291371431044,Phoenix Suns @ Atlanta Hawks,player_rebounds,Onyeka Okongwu,Over,8.5,,110.0,,145.0,,,120.0,105.0,0.4298813434169106,2.45
fanduel,-280.0,-0.04456555143288943,Brooklyn Nets @ Portland Trail Blazers,player_rebounds_alternate,Shaedon Sharpe,Over,3.5,,,-385.0,,-330.0,-400.0,-280.0,-400.0,0.704004330523134,1.3571428571428572
betmgm,310.0,0.15280113270594464,Brooklyn Nets @ Portland Trail Blazers,player_points_alternate,Toumani Camara,Over,14.5,,310.0,205.0,,225.0,225.0,,250.0,0.2811710079770597,4.1
fanduel,-150.0,0.03487886406432206,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Devin Booker,Over,24.5,,-200.0,,-180.0,-205.0,-190.0,-150.0,-185.0,0.6209273184385934,1.6666666666666663
fanduel,-360.0,-0.06986277834707766,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Dyson Daniels,Over,3.5,,,,-500.0,-500.0,-475.0,-360.0,-500.0,0.7279334778153305,1.2777777777777777
betmgm,150.0,0.08613595446636757,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Zaccharie Risacher,Over,14.5,,150.0,,120.0,130.0,105.0,150.0,105.0,0.434454381786547,2.5
fanduel,150.0,0.08613595446636757,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Zaccharie Risacher,Over,14.5,,150.0,,120.0,130.0,105.0,150.0,105.0,0.434454381786547,2.5
fanduel,180.0,0.10172461076078232,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Devin Booker,Over,29.5,,140.0,,160.0,130.0,135.0,180.0,140.0,0.393473075271708,2.8
fanduel,320.0,0.1468055817995908,Oklahoma City Thunder @ Philadelphia 76ers,player_rebounds_alternate,Luguentz Dort,Over,5.5,,,193.0,300.0,265.0,,320.0,220.0,0.2730489480475216,4.2
betmgm,600.0,0.23005164084624297,Brooklyn Nets @ Portland Trail Blazers,player_points_alternate,Deandre Ayton,Over,19.5,,600.0,248.0,,500.0,400.0,450.0,425.0,0.1757216629780347,7.0
ballybet,143.0,0.05848979934603149,Phoenix Suns @ Atlanta Hawks,player_threes,Zaccharie Risacher,Over,1.5,143.0,105.0,,115.0,,105.0,128.0,100.0,0.4355925100189429,2.43
fanduel,-145.0,0.034137971383862764,New Orleans Pelicans @ Chicago Bulls,player_rebounds_alternate,Yves Missi,Over,7.5,,,-185.0,-180.0,-180.0,-180.0,-145.0,-190.0,0.6120408402067758,1.6896551724137931
bovada,170.0,0.09461917100136419,Cleveland Cavaliers @ Indiana Pacers,player_assists_alternate,Andrew Nembhard,Over,7.5,,,136.0,170.0,140.0,130.0,135.0,130.0,0.405414507778283,2.7
fanduel,-110.0,0.05256501913036837,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Paul George,Over,19.5,,-140.0,,-135.0,-135.0,-140.0,-110.0,-140.0,0.5513435814492407,1.9090909090909087
fanduel,155.0,0.07718517682705572,Brooklyn Nets @ Portland Trail Blazers,player_rebounds_alternate,Shaedon Sharpe,Over,5.5,,,122.0,,135.0,,155.0,120.0,0.4224255595400219,2.55
fanduel,125.0,0.06671098203399617,Brooklyn Nets @ Portland Trail Blazers,player_rebounds_alternate,Anfernee Simons,Over,3.5,,,104.0,,110.0,-105.0,125.0,-105.0,0.4740937697928872,2.25
draftkings,-140.0,0.01284342338007538,Sacramento Kings @ Milwaukee Bucks,player_blocks_steals,Giannis Antetokounmpo,Under,2.5,-180.0,-185.0,,,-140.0,,,-185.0,0.5908253303050439,1.7142857142857144
bovada,-200.0,-0.003843482419176647,Cleveland Cavaliers @ Indiana Pacers,player_assists_alternate,Andrew Nembhard,Over,5.5,,,-294.0,-200.0,-240.0,,-230.0,-260.0,0.6641043450538823,1.5
espnbet,-160.0,0.025636581207116205,Denver Nuggets @ Dallas Mavericks,player_points_rebounds_assists_alternate,Jamal Murray,Over,24.5,,,-204.0,,-225.0,-160.0,,,0.631160973050533,1.625
draftkings,340.0,0.15059445418400652,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Myles Turner,Over,9.5,,310.0,232.0,240.0,340.0,225.0,260.0,,0.2614987395872742,4.4
fanduel,175.0,0.08950617283950613,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Clint Capela,Over,11.5,,,,150.0,120.0,140.0,175.0,140.0,0.3961840628507295,2.75
fanduel,420.0,0.12117411876728745,Brooklyn Nets @ Portland Trail Blazers,player_rebounds_alternate,Deandre Ayton,Over,13.5,,,283.0,,310.0,,420.0,,0.2156104074552476,5.2
draftkings,-260.0,-0.04312169125111498,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Zaccharie Risacher,Over,9.5,,-300.0,,-330.0,-260.0,-400.0,-260.0,-400.0,0.6910787785408614,1.3846153846153846
fanduel,-260.0,-0.04312169125111498,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Zaccharie Risacher,Over,9.5,,-300.0,,-330.0,-260.0,-400.0,-260.0,-400.0,0.6910787785408614,1.3846153846153846
bovada,360.0,0.1597731253635557,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Guerschon Yabusele,Over,14.5,,310.0,218.0,360.0,285.0,225.0,350.0,250.0,0.2521245924703382,4.6
ballybet,114.0,0.041918052963467956,Oklahoma City Thunder @ Philadelphia 76ers,player_points,Jalen Williams,Over,20.5,114.0,-120.0,-109.0,-110.0,-115.0,-110.0,,-110.0,0.486877594842742,2.14
fanduel,-120.0,0.03871839040447256,Brooklyn Nets @ Portland Trail Blazers,player_assists_alternate,Anfernee Simons,Over,5.5,,,-133.0,,-160.0,,-120.0,-150.0,0.5665736674933487,1.8333333333333333
fanduel,-110.0,0.04817866641221347,Oklahoma City Thunder @ Philadelphia 76ers,player_assists_alternate,Isaiah Hartenstein,Over,3.5,,,-127.0,-130.0,-135.0,-125.0,-110.0,-155.0,0.5490459681206834,1.9090909090909087
betmgm,950.0,0.31033396345305553,Phoenix Suns @ Atlanta Hawks,player_assists_alternate,Dyson Daniels,Over,9.5,,950.0,,600.0,600.0,500.0,,,0.1247937108050529,10.5
fanduel,-150.0,0.023717070971221332,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Zaccharie Risacher,Over,3.5,,,,-170.0,-175.0,-190.0,-150.0,-200.0,0.614230242582733,1.6666666666666663
espnbet,375.0,0.12057468675115735,Cleveland Cavaliers @ Indiana Pacers,player_points_rebounds_assists_alternate,Andrew Nembhard,Over,29.5,,,212.0,,290.0,375.0,,,0.2359104603686647,4.75
fanduel,-440.0,-0.09248255024585617,Brooklyn Nets @ Portland Trail Blazers,player_assists_alternate,Shaedon Sharpe,Over,1.5,,,-625.0,,,-550.0,-440.0,,0.7394586627626357,1.2272727272727273
draftkings,175.0,0.07046687722708123,Sacramento Kings @ Milwaukee Bucks,player_assists_alternate,Bobby Portis,Over,2.5,,,124.0,,175.0,140.0,,145.0,0.3892606826280295,2.75
fanduel,175.0,0.08358444118469532,Brooklyn Nets @ Portland Trail Blazers,player_assists_alternate,Shaedon Sharpe,Over,3.5,,,140.0,,130.0,140.0,175.0,145.0,0.3940307058853438,2.75
espnbet,900.0,0.2519011764409149,Cleveland Cavaliers @ Indiana Pacers,player_points_rebounds_assists_alternate,Max Strus,Over,24.5,,,429.0,,600.0,900.0,,,0.1251901176440915,10.0
draftkings,290.0,0.11145359080618156,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Andrew Nembhard,Over,4.5,,250.0,187.0,,290.0,210.0,,225.0,0.2849881002067132,3.9
fanduel,370.0,0.12023995557469536,New Orleans Pelicans @ Chicago Bulls,player_rebounds_alternate,Patrick Williams,Over,5.5,,,246.0,325.0,285.0,,370.0,260.0,0.2383489267180203,4.7
draftkings,-165.0,0.007552513370819858,Sacramento Kings @ Milwaukee Bucks,player_points_rebounds_assists_alternate,Damian Lillard,Over,34.5,,,-182.0,,-165.0,-210.0,,,0.6273440177591898,1.606060606060606
bovada,120.0,0.037046526037145755,Phoenix Suns @ Atlanta Hawks,player_assists,Dyson Daniels,Over,5.5,-105.0,-105.0,,120.0,-115.0,105.0,102.0,-120.0,0.4713847845623389,2.2
espnbet,-160.0,0.008437660223374444,New Orleans Pelicans @ Chicago Bulls,player_points_rebounds_assists_alternate,Nikola Vucevic,Over,29.5,,,-238.0,,-175.0,-160.0,,,0.6205770216759228,1.625
draftkings,270.0,0.09718806613216557,Cleveland Cavaliers @ Indiana Pacers,player_points_rebounds_assists_alternate,Caris LeVert,Over,19.5,,,176.0,,270.0,225.0,,,0.2965373151708555,3.7
draftkings,330.0,0.1072366821193329,Cleveland Cavaliers @ Indiana Pacers,player_assists_alternate,Max Strus,Over,4.5,,310.0,165.0,,330.0,260.0,,275.0,0.2574969028184495,4.3
fanduel,-380.0,-0.07208237986270027,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Onyeka Okongwu,Over,5.5,,,,,-450.0,,-380.0,-500.0,0.7346014492753623,1.263157894736842
fanduel,-155.0,0.023629796438970674,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Clint Capela,Over,9.5,,-190.0,,-175.0,-175.0,-200.0,-155.0,-195.0,0.6222063468550607,1.6451612903225803
ballybet,850.0,0.3125132019854504,Oklahoma City Thunder @ Philadelphia 76ers,player_double_double,Guerschon Yabusele,Yes,,850.0,525.0,,500.0,600.0,425.0,500.0,500.0,0.1381592844195211,9.5
fanduel,145.0,0.06949249169568339,Cleveland Cavaliers @ Indiana Pacers,player_assists_alternate,Darius Garland,Over,7.5,,,119.0,110.0,130.0,115.0,145.0,115.0,0.4365275476308912,2.45
bovada,150.0,0.053516846955437236,Denver Nuggets @ Dallas Mavericks,player_assists,Dereck Lively II,Over,3.5,114.0,120.0,124.0,150.0,,120.0,118.0,115.0,0.4214067387821749,2.5
fanduel,130.0,0.061988907720330166,Oklahoma City Thunder @ Philadelphia 76ers,player_rebounds_alternate,Paul George,Over,7.5,,,113.0,105.0,100.0,105.0,130.0,105.0,0.4617343077044914,2.3
fanduel,270.0,0.09859247927899117,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Zaccharie Risacher,Over,5.5,,,,240.0,215.0,,270.0,195.0,0.2969168862916192,3.7
betmgm,333.0,0.11413678563060037,Phoenix Suns @ Atlanta Hawks,player_points_alternate,Clint Capela,Over,14.5,,333.0,,250.0,245.0,240.0,270.0,260.0,0.2573064170047576,4.33
ballybet,290.0,0.11933260892013298,Sacramento Kings @ Milwaukee Bucks,player_double_double,Damian Lillard,Yes,,290.0,220.0,,200.0,220.0,210.0,250.0,210.0,0.2870083612615726,3.9
draftkings,145.0,0.06849812703551983,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Evan Mobley,Over,9.5,,135.0,121.0,-115.0,145.0,125.0,120.0,,0.4361216845042938,2.45
draftkings,-150.0,0.021461481987797626,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Myles Turner,Over,6.5,,-175.0,-204.0,,-150.0,,,-200.0,0.6128768891926787,1.6666666666666663
fanduel,260.0,0.1208692773160196,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Paul George,Over,24.5,,210.0,181.0,220.0,215.0,190.0,260.0,200.0,0.3113525770322277,3.6
draftkings,450.0,0.13298121450831135,Sacramento Kings @ Milwaukee Bucks,player_assists_alternate,Bobby Portis,Over,3.5,,,258.0,,450.0,350.0,,350.0,0.2059965844560566,5.5
fanduel,650.0,0.19663945165883678,Brooklyn Nets @ Portland Trail Blazers,player_rebounds_alternate,Anfernee Simons,Over,5.5,,,371.0,,550.0,,650.0,425.0,0.1595519268878449,7.5
fanduel,-140.0,0.031092248890843832,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Clint Capela,Over,9.5,,-200.0,,-160.0,-175.0,-160.0,-140.0,,0.6014704785196588,1.7142857142857144
bovada,-125.0,0.029241032592770555,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Guerschon Yabusele,Over,9.5,,-140.0,,-125.0,-145.0,-170.0,-115.0,-170.0,0.5718005736626502,1.8
fanduel,125.0,0.05832212330596631,Cleveland Cavaliers @ Indiana Pacers,player_points_alternate,Caris LeVert,Over,9.5,,-120.0,,-120.0,135.0,105.0,125.0,115.0,0.470365388135985,2.25
ballybet,750.0,0.2539664342349952,Cleveland Cavaliers @ Indiana Pacers,player_double_double,Andrew Nembhard,Yes,,750.0,500.0,,500.0,475.0,400.0,480.0,475.0,0.1475254628511759,8.5
fanduel,-500.0,-0.07015700303069505,Sacramento Kings @ Milwaukee Bucks,player_double_double,Giannis Antetokounmpo,Yes,,-670.0,-800.0,,-800.0,-800.0,-700.0,-500.0,-850.0,0.7748691641410875,1.2
fanduel,350.0,0.13456066611652195,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Guerschon Yabusele,Over,14.5,,310.0,218.0,360.0,285.0,225.0,350.0,250.0,0.2521245924703382,4.5
fanduel,700.0,0.24101894566607118,Phoenix Suns @ Atlanta Hawks,player_double_double,Dyson Daniels,Yes,,800.0,400.0,,500.0,400.0,450.0,700.0,375.0,0.1551273682082589,8.0
draftkings,450.0,0.11050464724596054,Oklahoma City Thunder @ Philadelphia 76ers,player_rebounds_alternate,Isaiah Joe,Over,4.5,,310.0,,,450.0,325.0,,325.0,0.2019099358629019,5.5
fanduel,380.0,0.09273722173858945,Phoenix Suns @ Atlanta Hawks,player_rebounds_alternate,Clint Capela,Over,13.5,,,,330.0,240.0,,380.0,,0.2276535878622061,4.8
hardrockbet,350.0,0.1111443037482176,Denver Nuggets @ Dallas Mavericks,player_assists_alternate,Nikola Jokic,Over,11.5,,,199.0,,235.0,375.0,260.0,350.0,0.2469209563884928,4.5
fanduel,-120.0,0.03394483002084847,Sacramento Kings @ Milwaukee Bucks,player_assists_alternate,De'Aaron Fox,Over,5.5,,,-130.0,-150.0,-175.0,,-120.0,-140.0,0.5639699072840992,1.8333333333333333
fanduel,160.0,0.07096538560975629,Cleveland Cavaliers @ Indiana Pacers,player_assists_alternate,Max Strus,Over,3.5,,,104.0,130.0,145.0,135.0,160.0,135.0,0.4119097636960601,2.6
fanduel,240.0,0.10113100450107093,Sacramento Kings @ Milwaukee Bucks,player_assists_alternate,Giannis Antetokounmpo,Over,7.5,,,162.0,220.0,200.0,185.0,240.0,185.0,0.3238620601473738,3.4
hardrockbet,-275.0,-0.04424939006752571,Cleveland Cavaliers @ Indiana Pacers,player_points_alternate,Andrew Nembhard,Over,9.5,,-350.0,,-375.0,-425.0,-285.0,-370.0,-275.0,0.7008837806171477,1.3636363636363638
draftkings,-145.0,0.0019835385729469746,Phoenix Suns @ Atlanta Hawks,player_blocks_steals,Kevin Durant,Under,2.5,-186.0,-185.0,,,-145.0,,,-180.0,0.5930106656860298,1.6896551724137931
draftkings,330.0,0.08622622552682735,Sacramento Kings @ Milwaukee Bucks,player_points_rebounds_assists_alternate,Giannis Antetokounmpo,Over,59.5,,,281.0,,330.0,240.0,,,0.252610750122518,4.3
ballybet,360.0,0.11517009750666585,Oklahoma City Thunder @ Philadelphia 76ers,player_double_double,Paul George,Yes,,360.0,280.0,,250.0,250.0,260.0,300.0,260.0,0.2424282820666665,4.6
ballybet,110.0,0.0298029189731146,Brooklyn Nets @ Portland Trail Blazers,player_threes,Anfernee Simons,Over,3.5,110.0,-115.0,-111.0,-115.0,-115.0,-115.0,102.0,-120.0,0.4903823423681498,2.1
draftkings,280.0,0.11167671849351657,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Pascal Siakam,Over,9.5,,250.0,218.0,200.0,280.0,200.0,210.0,,0.2925465048667149,3.8
bovada,110.0,0.0286753942090614,Sacramento Kings @ Milwaukee Bucks,player_rebounds_assists,Domantas Sabonis,Over,21.5,,-120.0,,110.0,-110.0,-120.0,104.0,-120.0,0.4898454258138388,2.1
fanduel,300.0,0.1045140126880677,Denver Nuggets @ Dallas Mavericks,player_points_alternate,Nikola Jokic,Over,34.5,,,209.0,,265.0,220.0,300.0,240.0,0.2761285031720169,4.0
espnbet,-575.0,-0.10769811178896715,Cleveland Cavaliers @ Indiana Pacers,player_assists_alternate,Pascal Siakam,Over,1.5,,,-1000.0,,,-575.0,-700.0,,0.7601090158834725,1.1739130434782608
espnbet,-215.0,-0.014968682952011925,Denver Nuggets @ Dallas Mavericks,player_assists_alternate,Nikola Jokic,Over,7.5,,,-278.0,,-330.0,-215.0,-280.0,-225.0,0.6723229624295791,1.4651162790697674
fanduel,-120.0,0.03486905813218666,New Orleans Pelicans @ Chicago Bulls,player_assists_alternate,Dejounte Murray,Over,7.5,,,-141.0,-145.0,-145.0,-145.0,-120.0,-150.0,0.5644740317084654,1.8333333333333333
espnbet,-425.0,-0.08649428150706928,New Orleans Pelicans @ Chicago Bulls,player_assists_alternate,Trey Murphy III,Over,1.5,,,-1000.0,,,-425.0,-390.0,,0.739504629256182,1.2352941176470589
fanduel,-280.0,-0.03880662208275332,Phoenix Suns @ Atlanta Hawks,player_double_double,Trae Young,Yes,,-345.0,-375.0,,-350.0,-350.0,-375.0,-280.0,-400.0,0.70824775214955,1.3571428571428572
draftkings,-105.0,0.01453125993916693,Denver Nuggets @ Dallas Mavericks,player_rebounds_assists,Klay Thompson,Under,5.5,,-135.0,,,-105.0,-130.0,,-130.0,0.519637962407866,1.9523809523809523
draftkings,-275.0,-0.04575693679744186,Cleveland Cavaliers @ Indiana Pacers,player_rebounds_alternate,Myles Turner,Over,5.5,,,,-310.0,-275.0,,-300.0,-375.0,0.6997782463485426,1.3636363636363638
fanduel,270.0,0.10923803138030252,Oklahoma City Thunder @ Philadelphia 76ers,player_points_alternate,Jalen Williams,Over,24.5,,210.0,212.0,260.0,195.0,200.0,270.0,210.0,0.2997940625352169,3.7
draftkings,-120.0,0.014447587356546832,Brooklyn Nets @ Portland Trail Blazers,player_rebounds,Toumani Camara,Under,6.5,,-150.0,-141.0,-150.0,-120.0,-150.0,,-155.0,0.5533350476490255,1.8333333333333333
fanduel,175.0,0.07103162832650156,Brooklyn Nets @ Portland Trail Blazers,player_rebounds_alternate,Deandre Ayton,Over,11.5,,,139.0,,140.0,145.0,175.0,145.0,0.3894660466641824,2.75
bovada,110.0,0.02949223499863196,Denver Nuggets @ Dallas Mavericks,player_points_rebounds_assists,Russell Westbrook,Under,26.5,-107.0,-115.0,-112.0,110.0,-120.0,-115.0,-104.0,-115.0,0.4902343976183961,2.1
bovada,110.0,0.029404769939664455,Brooklyn Nets @ Portland Trail Blazers,player_points_rebounds_assists,Anfernee Simons,Over,32.5,,-120.0,-101.0,110.0,-120.0,-105.0,-106.0,-120.0,0.4901927475903164,2.1
bovada,300.0,0.10946447344084431,Oklahoma City Thunder @ Philadelphia 76ers,player_assists_alternate,Tyrese Maxey,Over,7.5,,,196.0,300.0,235.0,225.0,300.0,230.0,0.2773661183602111,4.0
fanduel,300.0,0.10946447344084431,Oklahoma City Thunder @ Philadelphia 76ers,player_assists_alternate,Tyrese Maxey,Over,7.5,,,196.0,300.0,235.0,225.0,300.0,230.0,0.2773661183602111,4.0
