value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,108.0,0.022825078564539858,Chicago Bulls @ Toronto Raptors,player_rebounds_assists,Ayo Dosunmu,Over,8.5,100.0,-120.0,,-110.0,-120.0,108.0,-130.0,-105.0,0.4917428262329518,2.08
ballybet,-103.0,0.019308163842463033,Philadelphia 76ers @ Charlotte Hornets,player_rebounds,Andre Drummond,Under,11.5,-103.0,-130.0,-125.0,-130.0,-125.0,-122.0,-135.0,-130.0,0.5171859156442054,1.970873786407767
ballybet,-105.0,0.01900623665495127,Philadelphia 76ers @ Charlotte Hornets,player_threes,LaMelo Ball,Under,3.5,-105.0,-140.0,-114.0,-120.0,-135.0,-118.0,-145.0,-145.0,0.521930023652536,1.9523809523809523
betonlineag,104.0,0.017146124482068537,Cleveland Cavaliers @ Brooklyn Nets,player_points_rebounds_assists,Caris LeVert,Over,19.5,,-120.0,104.0,-125.0,-115.0,,-125.0,-115.0,0.4986010414127787,2.04
fanduel,-128.0,0.009679913604711654,Denver Nuggets @ Sacramento Kings,player_threes,Nikola Jokic,Over,1.5,-150.0,-160.0,-154.0,-160.0,-160.0,-128.0,-170.0,-165.0,0.5668378462342241,1.78125
ballybet,650.0,0.19859359186411174,Cleveland Cavaliers @ Brooklyn Nets,player_double_double,Darius Garland,Yes,,650.0,475.0,,425.0,400.0,370.0,450.0,450.0,0.1598124789152149,7.5
espnbet,130.0,-0.01660869723951841,Philadelphia 76ers @ Charlotte Hornets,player_double_double,Andre Drummond,Yes,,-105.0,115.0,,100.0,130.0,105.0,110.0,110.0,0.4275614359828181,2.3
fanduel,140.0,0.030498300696727543,Miami Heat @ Detroit Pistons,player_steals,Jimmy Butler,Over,1.5,112.0,115.0,,124.0,110.0,140.0,105.0,115.0,0.4293742919569698,2.4
fanduel,-360.0,-0.06113204767472635,Denver Nuggets @ Sacramento Kings,player_double_double,Domantas Sabonis,Yes,,-715.0,-450.0,,-500.0,-450.0,-360.0,-465.0,-475.0,0.7347662235589099,1.2777777777777777
ballybet,-110.0,0.0132053819609953,Chicago Bulls @ Toronto Raptors,player_rebounds_assists,R.J. Barrett,Over,13.5,-110.0,-140.0,,-125.0,-135.0,-122.0,-145.0,-140.0,0.5307266286462357,1.9090909090909087
hardrockbet,110.0,0.015734858747538105,Utah Jazz @ Los Angeles Clippers,player_points_rebounds_assists,James Harden,Under,35.5,-115.0,-115.0,100.0,-110.0,,,-125.0,110.0,0.4836832660702562,2.1
ballybet,106.0,0.018618113858092755,Chicago Bulls @ Toronto Raptors,player_points_rebounds_assists,Coby White,Under,26.5,106.0,-115.0,-115.0,-115.0,-115.0,-104.0,-125.0,-115.0,0.4944748125524722,2.06
ballybet,140.0,0.03053007838803745,Denver Nuggets @ Sacramento Kings,player_assists,Jamal Murray,Over,6.5,140.0,115.0,118.0,114.0,115.0,,110.0,115.0,0.4293875326616823,2.4
ballybet,500.0,0.11174423826852697,Denver Nuggets @ Sacramento Kings,player_double_double,De'Aaron Fox,Yes,,500.0,,,380.0,330.0,350.0,365.0,350.0,0.1852907063780878,6.0
ballybet,104.0,0.00260440906307402,Utah Jazz @ Los Angeles Clippers,player_steals,Walker Kessler,Under,0.5,104.0,-115.0,,,-120.0,,-120.0,-115.0,0.4914727495407225,2.04
fanduel,112.0,0.01744546918981449,Chicago Bulls @ Toronto Raptors,player_rebounds,Ayo Dosunmu,Over,3.5,110.0,-115.0,-103.0,-110.0,-110.0,112.0,-120.0,-120.0,0.479927108108403,2.12
fanduel,100.0,0.011028281920490768,Philadelphia 76ers @ Charlotte Hornets,player_rebounds,Paul George,Over,5.5,-107.0,-125.0,-116.0,-120.0,-125.0,100.0,-130.0,-130.0,0.5055141409602454,2.0
ballybet,-113.0,0.007469311371908427,Denver Nuggets @ Sacramento Kings,player_assists,Domantas Sabonis,Under,5.5,-113.0,-150.0,-122.0,-130.0,-130.0,-130.0,-160.0,-140.0,0.5344790243428436,1.8849557522123888
ballybet,140.0,0.026404024674213322,Chicago Bulls @ Toronto Raptors,player_rebounds,Ochai Agbaji,Under,3.5,140.0,115.0,117.0,114.0,115.0,,110.0,115.0,0.4276683436142555,2.4
ballybet,-104.0,0.007191295829759081,Chicago Bulls @ Toronto Raptors,player_rebounds,Coby White,Under,3.5,-104.0,-130.0,-120.0,-130.0,-120.0,-113.0,-140.0,-130.0,0.5134700723837987,1.9615384615384617
ballybet,110.0,0.01411735463777175,Denver Nuggets @ Sacramento Kings,player_points_rebounds_assists,Domantas Sabonis,Under,38.5,110.0,-110.0,-103.0,-110.0,-110.0,,-115.0,-110.0,0.4829130260179865,2.1
fanduel,112.0,0.014433350253635568,Denver Nuggets @ Sacramento Kings,player_assists,Malik Monk,Over,5.5,100.0,-110.0,-102.0,-105.0,-110.0,112.0,-115.0,-115.0,0.4785062972894507,2.12
ballybet,104.0,0.011027671703306208,Denver Nuggets @ Sacramento Kings,player_points_rebounds_assists,Nikola Jokic,Over,50.5,104.0,-115.0,-114.0,,-115.0,-115.0,-120.0,-115.0,0.4956017998545618,2.04
ballybet,280.0,0.027559240143526953,Utah Jazz @ Los Angeles Clippers,player_double_double,John Collins,Yes,,280.0,240.0,,215.0,230.0,180.0,230.0,230.0,0.2704103263535597,3.8
ballybet,1200.0,0.3343231211504467,Philadelphia 76ers @ Charlotte Hornets,player_first_basket,Mark Williams,Yes,,1200.0,,,650.0,750.0,1100.0,,600.0,0.1026402400884959,13.0
ballybet,114.0,0.013614245493160482,Chicago Bulls @ Toronto Raptors,player_rebounds_assists,Coby White,Under,7.5,114.0,-105.0,,-110.0,-105.0,108.0,-115.0,-105.0,0.473651516585589,2.14
ballybet,575.0,0.12760921159419003,Philadelphia 76ers @ Charlotte Hornets,player_double_double,LaMelo Ball,Yes,,575.0,425.0,,425.0,380.0,420.0,420.0,400.0,0.1670532165324726,6.75
fanduel,-118.0,0.00047890168642250597,Miami Heat @ Detroit Pistons,player_assists,Jimmy Butler,Under,4.5,-148.0,-145.0,-128.0,-130.0,-135.0,-118.0,-155.0,-150.0,0.5415436256834764,1.847457627118644
ballybet,-108.0,0.0031854037953504832,Chicago Bulls @ Toronto Raptors,player_assists,Zach LaVine,Over,3.5,-108.0,-130.0,-123.0,-110.0,-140.0,-125.0,-135.0,-135.0,0.5208847288937396,1.925925925925926
fanduel,120.0,0.014368596868821859,Miami Heat @ Detroit Pistons,player_assists,Bam Adebayo,Over,5.5,-103.0,105.0,110.0,100.0,110.0,120.0,-115.0,-110.0,0.4610766349403735,2.2
draftkings,950.0,0.22824724855617273,Philadelphia 76ers @ Charlotte Hornets,player_first_basket,Kelly Oubre Jr,Yes,,700.0,,,950.0,600.0,850.0,,525.0,0.1169759284339212,10.5
ballybet,110.0,0.007846927027646444,Chicago Bulls @ Toronto Raptors,player_rebounds,Ayo Dosunmu,Over,3.5,110.0,-115.0,-103.0,-110.0,-110.0,112.0,-120.0,-120.0,0.479927108108403,2.1
fanduel,102.0,0.005099533266410994,Denver Nuggets @ Sacramento Kings,player_rebounds_assists,Aaron Gordon,Under,8.5,-112.0,-125.0,,-105.0,-105.0,102.0,-130.0,-125.0,0.4975740263695104,2.02
ballybet,102.0,0.004589550932402875,Chicago Bulls @ Toronto Raptors,player_points_rebounds_assists,R.J. Barrett,Over,39.5,102.0,-115.0,-114.0,-115.0,-115.0,-120.0,-125.0,-115.0,0.4973215598675261,2.02
ballybet,750.0,0.17879839973949818,Philadelphia 76ers @ Charlotte Hornets,player_double_double,Paul George,Yes,,750.0,575.0,,500.0,450.0,450.0,545.0,550.0,0.1386821646752351,8.5
ballybet,102.0,0.0029846570226677027,Denver Nuggets @ Sacramento Kings,player_points,Nikola Jokic,Over,29.5,102.0,-120.0,-109.0,-110.0,-110.0,,-125.0,-120.0,0.4965270579320137,2.02
hardrockbet,750.0,0.14832865148693442,Cleveland Cavaliers @ Brooklyn Nets,player_first_basket,Jarrett Allen,Yes,,500.0,,,475.0,600.0,500.0,,750.0,0.1350974884102276,8.5
espnbet,110.0,0.006142069323147092,Chicago Bulls @ Toronto Raptors,player_assists,Zach LaVine,Under,3.5,-124.0,-105.0,-105.0,-120.0,110.0,-102.0,-110.0,-105.0,0.4791152711062605,2.1
draftkings,750.0,0.14887114265996204,Philadelphia 76ers @ Charlotte Hornets,player_first_basket,Paul George,Yes,,500.0,,,750.0,600.0,500.0,,525.0,0.135161310901172,8.5
