value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,-135.0,0.0226998262008391,Dallas Mavericks @ New Orleans Pelicans,player_assists_alternate,C.J. McCollum,Over,3.5,,,-179.0,-150.0,-175.0,-170.0,-135.0,-185.0,0.5875084107962267,1.7407407407407407
betmgm,105.0,0.04542107947423557,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Trae Young,Over,29.5,,105.0,-108.0,-120.0,-120.0,-140.0,110.0,-145.0,0.509961502182554,2.05
fanduel,110.0,0.042602913299315315,Boston Celtics @ Toronto Raptors,player_assists_alternate,Payton Pritchard,Over,3.5,,,104.0,,-125.0,-120.0,110.0,-115.0,0.4964775777615787,2.1
fanduel,-360.0,-0.06740617288121309,Golden State Warriors @ Minnesota Timberwolves,player_rebounds_alternate,Naz Reid,Over,3.5,,,,-440.0,-475.0,-550.0,-360.0,-550.0,0.7298560386147028,1.2777777777777777
betonlineag,152.0,0.058537784551845995,Boston Celtics @ Toronto Raptors,player_assists_alternate,Davion Mitchell,Over,4.5,,110.0,152.0,,115.0,120.0,,115.0,0.4200546764094627,2.52
betonlineag,-217.0,-0.014049138195434407,Boston Celtics @ Toronto Raptors,player_assists_alternate,Payton Pritchard,Over,2.5,,-350.0,-217.0,,-290.0,-285.0,,-300.0,0.6749253533488666,1.4608294930875576
betmgm,210.0,0.09433952189125616,Memphis Grizzlies @ San Antonio Spurs,player_points_alternate,Brandon Clarke,Over,9.5,,210.0,141.0,,,165.0,175.0,175.0,0.3530127489971794,3.1
hardrockbet,325.0,0.13175488457190232,Charlotte Hornets @ Utah Jazz,player_points_alternate,Nick Richards,Over,9.5,,250.0,,,195.0,275.0,,325.0,0.2662952669580947,4.25
fanduel,270.0,0.09520729894766866,Houston Rockets @ Denver Nuggets,player_rebounds_alternate,Aaron Gordon,Over,5.5,,,170.0,240.0,185.0,,270.0,,0.2960019726885591,3.7
fanduel,-240.0,-0.026028618061616604,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Clint Capela,Over,7.5,,,,-260.0,-295.0,-350.0,-240.0,-350.0,0.6875092107800352,1.4166666666666667
espnbet,-285.0,-0.050584126695956466,Houston Rockets @ Denver Nuggets,player_assists_alternate,Jalen Green,Over,1.5,,,-455.0,,,-285.0,-350.0,,0.7028143477705259,1.350877192982456
betmgm,310.0,0.11070853242459022,Memphis Grizzlies @ San Antonio Spurs,player_rebounds_alternate,Victor Wembanyama,Over,14.5,,310.0,198.0,,245.0,225.0,,,0.2709045201035586,4.1
betmgm,200.0,0.09331539806875566,Miami Heat @ Los Angeles Lakers,player_points_alternate,Haywood Highsmith,Over,9.5,,200.0,136.0,155.0,150.0,150.0,180.0,165.0,0.3644384660229185,3.0
betmgm,450.0,0.1895050060320692,Golden State Warriors @ Minnesota Timberwolves,player_rebounds_alternate,Julius Randle,Over,9.5,,450.0,279.0,290.0,370.0,300.0,320.0,,0.2162736374603762,5.5
