value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
betmgm,165.0,0.10145153948010832,Detroit Pistons @ Atlanta Hawks,player_points_alternate,Dyson Daniels,Over,14.5,,165.0,,115.0,115.0,120.0,140.0,115.0,125.0,0.4156420903698522,2.65
betonlineag,110.0,0.05183382904287703,Phoenix Suns @ Brooklyn Nets,player_points_rebounds_assists_alternate,Ryan Dunn,Over,14.5,,,110.0,,-130.0,-115.0,,-120.0,,0.5008732519251795,2.1
ballybet,420.0,0.24483689005143683,Golden State Warriors @ Sacramento Kings,player_double_double,Trayce Jackson-Davis,Yes,,420.0,300.0,,300.0,300.0,230.0,310.0,235.0,240.0,0.2393917096252763,5.2
fanduel,340.0,0.17933403730777653,Cleveland Cavaliers @ Houston Rockets,player_rebounds_alternate,Donovan Mitchell,Over,5.5,,,185.0,,265.0,,340.0,,240.0,0.2680304630244946,4.4
espnbet,-105.0,0.02970585405048154,Minnesota Timberwolves @ Dallas Mavericks,player_points_alternate,Nickeil Alexander-Walker,Over,7.5,,,-130.0,,-205.0,-105.0,,-115.0,,0.5274103154892711,1.9523809523809523
fanduel,115.0,0.05474716420915671,Cleveland Cavaliers @ Houston Rockets,player_rebounds_alternate,Cam Whitmore,Over,3.5,,,-101.0,,-110.0,-120.0,115.0,,,0.4905800763763519,2.15
bovada,130.0,0.06148683117385989,Boston Celtics @ Los Angeles Clippers,player_assists,Kris Dunn,Over,3.5,,100.0,,130.0,,100.0,,-110.0,-105.0,0.4615160135538522,2.3
fliff,305.0,0.13164701886882346,Minnesota Timberwolves @ Dallas Mavericks,player_points_alternate,Nickeil Alexander-Walker,Over,11.5,,,195.0,,155.0,325.0,,305.0,,0.2794190170046478,4.05
fanduel,-125.0,0.03729119095845368,Minnesota Timberwolves @ Dallas Mavericks,player_points_alternate,Rudy Gobert,Over,9.5,,-160.0,,-175.0,-185.0,-150.0,-125.0,-165.0,-155.0,0.5762728838658076,1.8
betmgm,200.0,0.10419903905450134,Milwaukee Bucks @ New Orleans Pelicans,player_points_alternate,Yves Missi,Over,9.5,,200.0,129.0,,160.0,150.0,,,160.0,0.3680663463515005,3.0
draftkings,-500.0,-0.07245646357979041,Milwaukee Bucks @ New Orleans Pelicans,player_points_rebounds_assists_alternate,Bobby Portis,Over,14.5,,,,,-500.0,-700.0,,-870.0,,0.7729529470168413,1.2
fanduel,-195.0,-5.757341234835511e-05,Detroit Pistons @ Atlanta Hawks,player_rebounds_alternate,Onyeka Okongwu,Over,7.5,,,,-200.0,-275.0,-275.0,-195.0,,-300.0,0.6609788921511596,1.5128205128205128
draftkings,-350.0,-0.04881554695660817,Minnesota Timberwolves @ Dallas Mavericks,player_points_rebounds_assists_alternate,Kyrie Irving,Over,29.5,,,,,-350.0,-475.0,,-515.0,,0.7398101301448604,1.2857142857142856
fanduel,-250.0,-0.02582583818589368,Cleveland Cavaliers @ Houston Rockets,player_assists_alternate,Darius Garland,Over,5.5,,,-385.0,,-295.0,,-250.0,,-350.0,0.6958386870100759,1.4
bovada,400.0,0.20168632362165662,Charlotte Hornets @ Memphis Grizzlies,player_points_alternate,Josh Green,Over,9.5,,290.0,209.0,400.0,280.0,260.0,390.0,,300.0,0.2403372647243313,5.0
ballybet,107.0,0.055687327902419925,Charlotte Hornets @ Memphis Grizzlies,player_rebounds,Desmond Bane,Under,5.5,107.0,-125.0,-123.0,-125.0,-120.0,-125.0,-115.0,-130.0,-130.0,0.5099938782137293,2.0700000000000003
espnbet,110.0,0.03799859937175776,Cleveland Cavaliers @ Houston Rockets,player_assists,Jarrett Allen,Under,1.5,,-118.0,,,,110.0,,-125.0,-120.0,0.4942850473198846,2.1
espnbet,105.0,0.023812591957970808,Golden State Warriors @ Sacramento Kings,player_rebounds_assists_alternate,DeMar DeRozan,Over,7.5,,,-167.0,,,105.0,,-105.0,,0.4994207765648639,2.05
betonlineag,-556.0,-0.10350530156598348,Charlotte Hornets @ Memphis Grizzlies,player_assists_alternate,Desmond Bane,Over,2.5,,-1400.0,-556.0,,-1200.0,-1000.0,,,-1000.0,0.7598339212337091,1.1798561151079137
fanduel,290.0,0.1396437894902134,Milwaukee Bucks @ New Orleans Pelicans,player_assists_alternate,Giannis Antetokounmpo,Over,7.5,,,165.0,,230.0,200.0,290.0,,230.0,0.2922163562795419,3.9
fanduel,140.0,0.04814085357812825,Milwaukee Bucks @ New Orleans Pelicans,player_rebounds_alternate,Giannis Antetokounmpo,Over,13.5,,,120.0,,110.0,,140.0,,,0.4367253556575535,2.4
fanduel,-175.0,0.0032902049708773973,Milwaukee Bucks @ New Orleans Pelicans,player_rebounds_alternate,Giannis Antetokounmpo,Over,11.5,,,-200.0,,-215.0,-240.0,-175.0,,-250.0,0.6384574031632856,1.5714285714285714
draftkings,-120.0,0.029321991323084662,Minnesota Timberwolves @ Dallas Mavericks,player_rebounds_alternate,Naz Reid,Over,5.5,,,-149.0,-165.0,-120.0,,-145.0,,-155.0,0.5614483589035008,1.8333333333333333
betonlineag,-123.0,0.029780632153636577,Golden State Warriors @ Sacramento Kings,player_rebounds_alternate,Trayce Jackson-Davis,Over,7.5,,,-123.0,-150.0,-160.0,-160.0,-140.0,,-175.0,0.5679955953134408,1.8130081300813008
hardrockbet,525.0,0.22716263453280383,Utah Jazz @ Oklahoma City Thunder,player_first_basket,Shai Gilgeous-Alexander,Yes,,,,,,300.0,375.0,390.0,,525.0,0.1963460215252486,6.25
draftkings,270.0,0.12927712645875733,Minnesota Timberwolves @ Dallas Mavericks,player_rebounds_alternate,Naz Reid,Over,7.5,,,184.0,180.0,270.0,200.0,210.0,,210.0,0.3052100341780425,3.7
ballybet,250.0,0.11716311555247172,Minnesota Timberwolves @ Dallas Mavericks,player_double_double,Daniel Gafford,Yes,,250.0,185.0,,180.0,,180.0,210.0,175.0,175.0,0.3191894615864205,3.5
fanduel,320.0,0.11839662063315248,Milwaukee Bucks @ New Orleans Pelicans,player_rebounds_alternate,Giannis Antetokounmpo,Over,15.5,,,232.0,,245.0,,320.0,,,0.2662849096745601,4.2
draftkings,-230.0,-0.015537822990727812,Minnesota Timberwolves @ Dallas Mavericks,player_rebounds_alternate,Naz Reid,Over,4.5,,-325.0,-357.0,,-230.0,-300.0,,,-325.0,0.6861403051882806,1.434782608695652
draftkings,350.0,0.1254719093243939,Cleveland Cavaliers @ Houston Rockets,player_points_rebounds_assists_alternate,Amen Thompson,Over,34.5,,,221.0,,350.0,260.0,,,,0.2501048687387542,4.5
fanduel,390.0,0.17765259714922355,Charlotte Hornets @ Memphis Grizzlies,player_points_alternate,Josh Green,Over,9.5,,290.0,209.0,400.0,280.0,260.0,390.0,,300.0,0.2403372647243313,4.9
fanduel,350.0,0.1374408881405338,Golden State Warriors @ Sacramento Kings,player_rebounds_alternate,DeMar DeRozan,Over,5.5,,,238.0,,295.0,,350.0,,240.0,0.2527646418090075,4.5
betmgm,300.0,0.12268608400175962,Milwaukee Bucks @ New Orleans Pelicans,player_rebounds_alternate,Taurean Prince,Over,4.5,,300.0,193.0,,205.0,225.0,,,240.0,0.2806715210004399,4.0
ballybet,295.0,0.13424241568275241,Milwaukee Bucks @ New Orleans Pelicans,player_double_double,Bobby Portis,Yes,,295.0,210.0,,220.0,,200.0,250.0,200.0,200.0,0.2871499786538614,3.95
betmgm,725.0,0.2461180124223601,Detroit Pistons @ Atlanta Hawks,player_assists_alternate,Trae Young,Over,14.5,,725.0,320.0,,600.0,450.0,,,,0.1510446075663467,8.25
betonlineag,688.0,0.2599115665101621,Minnesota Timberwolves @ Dallas Mavericks,player_points_rebounds_assists_alternate,Nickeil Alexander-Walker,Over,19.5,,,688.0,,285.0,500.0,,495.0,,0.1598872546332693,7.88
bovada,-200.0,-0.008531661773260701,Detroit Pistons @ Atlanta Hawks,player_rebounds_alternate,Onyeka Okongwu,Over,7.5,,,,-200.0,-275.0,-275.0,-195.0,,-300.0,0.6609788921511596,1.5
bovada,145.0,0.06308065108103289,Cleveland Cavaliers @ Houston Rockets,player_assists,Darius Garland,Over,7.5,104.0,125.0,128.0,145.0,114.0,,,100.0,100.0,0.433910469828993,2.45
draftkings,-290.0,-0.04680766258235325,Detroit Pistons @ Atlanta Hawks,player_rebounds_alternate,Dyson Daniels,Over,3.5,,,,-400.0,-290.0,-400.0,-380.0,-425.0,-400.0,0.7087840457720963,1.3448275862068966
bovada,105.0,0.0454207411544163,Phoenix Suns @ Brooklyn Nets,player_rebounds,Nick Richards,Over,8.5,-122.0,-115.0,-125.0,105.0,-125.0,-130.0,-128.0,-120.0,-120.0,0.5099613371484958,2.05
fanduel,170.0,0.06724026757216928,Boston Celtics @ Los Angeles Clippers,player_points_alternate,James Harden,Over,24.5,,165.0,,,160.0,115.0,170.0,,120.0,0.3952741731748775,2.7
draftkings,130.0,0.043015416126195305,Charlotte Hornets @ Memphis Grizzlies,player_assists,Mark Williams,Under,1.5,,100.0,,,130.0,115.0,,-110.0,-105.0,0.4534849635331284,2.3
fanduel,125.0,0.039794571225463926,Cleveland Cavaliers @ Houston Rockets,player_points_alternate,Georges Niang,Over,9.5,,-105.0,,,110.0,105.0,125.0,,,0.4621309205446506,2.25
fanduel,100.0,0.03650594040780497,Phoenix Suns @ Brooklyn Nets,player_points_alternate,Tyus Jones,Over,9.5,,-140.0,-111.0,-125.0,-115.0,-125.0,100.0,,-130.0,0.5182529702039025,2.0
betmgm,155.0,0.06214860099586583,Phoenix Suns @ Brooklyn Nets,player_rebounds_alternate,Nick Richards,Over,9.5,,155.0,111.0,120.0,120.0,120.0,115.0,130.0,,0.4165288631356337,2.55
betmgm,165.0,0.07049688272925869,Milwaukee Bucks @ New Orleans Pelicans,player_points_alternate,Zion Williamson,Over,24.5,,165.0,126.0,125.0,110.0,130.0,145.0,,135.0,0.4039610878223618,2.65
fanduel,-280.0,-0.04257355115959416,Boston Celtics @ Los Angeles Clippers,player_rebounds_alternate,Kristaps Porzingis,Over,5.5,,,,,-320.0,,-280.0,,-375.0,0.7054721201981937,1.3571428571428572
fanduel,-160.0,0.009334862472804462,Detroit Pistons @ Atlanta Hawks,player_points_alternate,Cade Cunningham,Over,24.5,,-250.0,-233.0,-180.0,-180.0,-200.0,-160.0,,-200.0,0.6211291461371105,1.625
espnbet,165.0,0.04402893133997776,Minnesota Timberwolves @ Dallas Mavericks,player_points_rebounds_assists_alternate,Nickeil Alexander-Walker,Over,14.5,,,,,-110.0,165.0,,160.0,,0.3939731816377275,2.65
fanduel,320.0,0.1227194053415317,Cleveland Cavaliers @ Houston Rockets,player_points_alternate,Cam Whitmore,Over,14.5,,260.0,240.0,,210.0,240.0,320.0,,,0.2673141441289361,4.2
draftkings,-140.0,0.011233429163234554,Minnesota Timberwolves @ Dallas Mavericks,player_assists,Rudy Gobert,Under,1.5,,-175.0,,,-140.0,-180.0,,-195.0,-185.0,0.5898861670118868,1.7142857142857144
fanduel,-185.0,-0.0013842581655031383,Phoenix Suns @ Brooklyn Nets,player_assists_alternate,Kevin Durant,Over,3.5,,,-233.0,-215.0,-220.0,-250.0,-185.0,,-260.0,0.6482242534715155,1.5405405405405406
