value_book,value_book_price,EV,implied_prob_diff,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
ballybet,-125.0,0.011458274839467597,-0.0524916041139054,Seattle Kraken @ New Jersey Devils,player_shots_on_goal,Matty Beniers,Over,1.5,-125.0,-160.0,-152.0,-150.0,-148.0,-160.0,-152.0,-165.0,-155.0,0.5619212637997042,1.8
draftkings,175.0,-0.031052933024307672,-0.0519496031918391,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Brock Boeser,Yes,,130.0,145.0,,130.0,175.0,165.0,160.0,170.0,170.0,0.3523443879911608,2.75
betmgm,1500.0,0.44749163879598564,-0.0519230769230769,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Erik Brannstrom,Yes,,550.0,1500.0,,550.0,1100.0,1000.0,1400.0,935.0,1100.0,0.0904682274247491,16.0
fanduel,420.0,0.09503694736723345,-0.0516915333988504,Seattle Kraken @ New Jersey Devils,player_goals,Matty Beniers,Over,0.5,,,,,,320.0,420.0,310.0,300.0,0.2105840283398526,5.2
fanduel,370.0,0.07776774588865598,-0.0516831070022559,Seattle Kraken @ New Jersey Devils,player_goals,Jaden Schwartz,Over,0.5,,,,,,290.0,370.0,270.0,275.0,0.2293122863592885,4.7
betmgm,900.0,0.22654462242562912,-0.0513157894736842,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Nikita Grebyonkin,Yes,,400.0,900.0,,400.0,900.0,750.0,850.0,685.0,750.0,0.1226544622425629,10.0
draftkings,900.0,0.22654462242562912,-0.0513157894736842,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Nikita Grebyonkin,Yes,,400.0,900.0,,400.0,900.0,750.0,850.0,685.0,750.0,0.1226544622425629,10.0
fanduel,110.0,-0.018527319967521327,-0.0513104466592838,Washington Capitals @ Toronto Maple Leafs,player_goals,Auston Matthews,Over,0.5,,,,,,-110.0,110.0,-115.0,-110.0,0.4673679428726088,2.1
ballybet,140.0,0.007119617973730952,-0.0512181616832779,Columbus Blue Jackets @ Vancouver Canucks,player_power_play_points,Quinn Hughes,Over,0.5,140.0,115.0,,,,115.0,,110.0,115.0,0.4196331741557212,2.4
fanduel,220.0,0.02420547832715525,-0.0511363636363635,Washington Capitals @ Toronto Maple Leafs,player_goals,Connor McMichael,Over,0.5,,,,,,175.0,220.0,175.0,175.0,0.320064211977236,3.2
ballybet,-112.0,0.013630334920307297,-0.0510916007257347,Columbus Blue Jackets @ Vancouver Canucks,player_shots_on_goal,Conor Garland,Over,2.5,-112.0,-145.0,-135.0,-135.0,-135.0,-140.0,-128.0,-145.0,-140.0,0.5355028184484643,1.8928571428571428
fanduel,400.0,0.0865151284568535,-0.051054852320675,Seattle Kraken @ New Jersey Devils,player_goals,Oliver Bjorkstrand,Over,0.5,,,,,,300.0,400.0,295.0,300.0,0.2173030256913707,5.0
fanduel,175.0,0.004383984450706535,-0.0507705338744137,Seattle Kraken @ New Jersey Devils,player_goals,Jack Hughes,Over,0.5,,,,,,155.0,175.0,135.0,135.0,0.3652305398002569,2.75
ballybet,110.0,0.020854772338476213,-0.0505270875148495,Columbus Blue Jackets @ Vancouver Canucks,player_shots_on_goal,Jake DeBrusk,Over,2.5,110.0,-110.0,-110.0,-115.0,-115.0,-114.0,-102.0,-115.0,-110.0,0.4861213201611791,2.1
betmgm,1100.0,0.2902747710812781,-0.0503974986191115,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Connor Dewar,Yes,,480.0,1100.0,,475.0,850.0,800.0,1100.0,735.0,800.0,0.1075228975901065,12.0
fanduel,1100.0,0.2902747710812781,-0.0503974986191115,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Connor Dewar,Yes,,480.0,1100.0,,475.0,850.0,800.0,1100.0,735.0,800.0,0.1075228975901065,12.0
draftkings,700.0,0.14984247006931284,-0.0503623188405797,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Adam Fox,Yes,,360.0,650.0,,360.0,700.0,650.0,650.0,595.0,650.0,0.1437303087586641,8.0
ballybet,115.0,0.02196871853984539,-0.0503040910982294,Seattle Kraken @ New Jersey Devils,player_shots_on_goal,Dougie Hamilton,Under,2.5,115.0,-110.0,-101.0,100.0,100.0,-110.0,-106.0,-115.0,-110.0,0.4753342876929514,2.15
fanduel,300.0,0.04709456976363069,-0.0500594177064765,Washington Capitals @ Toronto Maple Leafs,player_goals,Tom Wilson,Over,0.5,,,,,,240.0,300.0,230.0,230.0,0.2617736424409077,4.0
fanduel,-105.0,-0.026064654819588418,-0.0498016574368642,Minnesota Wild @ Anaheim Ducks,player_goals,Kirill Kaprizov,Over,0.5,,,,,,-125.0,-105.0,-130.0,-130.0,0.498844932897284,1.9523809523809523
ballybet,-130.0,0.00764858564849602,-0.0494954946315211,Pittsburgh Penguins @ New York Rangers,player_shots_on_goal,Bryan Rust,Over,2.5,-130.0,-160.0,-164.0,-150.0,-162.0,-160.0,-156.0,-165.0,-160.0,0.5695405049317587,1.7692307692307692
betmgm,500.0,0.07420218899118369,-0.0490276077791377,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Quinn Hughes,Yes,,330.0,500.0,,330.0,350.0,340.0,470.0,325.0,325.0,0.1790336981651973,6.0
fanduel,430.0,0.04852722287504874,-0.0485392231854495,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Pierre-Luc Dubois,Yes,,270.0,380.0,,270.0,400.0,380.0,430.0,355.0,350.0,0.1978353250707639,5.3
fanduel,1400.0,0.3570234113712366,-0.0467147435897435,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Erik Brannstrom,Yes,,550.0,1500.0,,550.0,1100.0,1000.0,1400.0,935.0,1100.0,0.0904682274247491,15.0
draftkings,750.0,0.14377731769036095,-0.0463741051976346,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Hendrix Lapierre,Yes,,440.0,600.0,,440.0,750.0,700.0,600.0,655.0,700.0,0.1345620373753366,8.5
ballybet,115.0,0.015371623241994037,-0.0460888060051791,Columbus Blue Jackets @ Vancouver Canucks,player_shots_on_goal,Kirill Marchenko,Over,2.5,115.0,-105.0,-101.0,-105.0,-105.0,-106.0,100.0,-110.0,-105.0,0.4722658712753461,2.15
betmgm,800.0,0.15786515275006296,-0.0460479063420239,Minnesota Wild @ Anaheim Ducks,player_goal_scorer_anytime,Brock Faber,Yes,,460.0,800.0,,460.0,550.0,550.0,750.0,515.0,525.0,0.1286516836388959,9.0
betmgm,650.0,0.10956967257494155,-0.0460008539101971,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Pontus Holmberg,Yes,,370.0,650.0,,360.0,550.0,550.0,650.0,500.0,500.0,0.1479426230099922,7.5
fanduel,650.0,0.10956967257494155,-0.0460008539101971,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Pontus Holmberg,Yes,,370.0,650.0,,360.0,550.0,550.0,650.0,500.0,500.0,0.1479426230099922,7.5
draftkings,850.0,0.17291680246833108,-0.0459018845840237,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Justin Dowling,Yes,,480.0,700.0,,475.0,850.0,800.0,650.0,760.0,850.0,0.1234649265756138,9.5
betmgm,240.0,-0.02311022311022337,-0.0453761924350159,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Mika Zibanejad,Yes,,160.0,240.0,,160.0,230.0,250.0,250.0,230.0,230.0,0.2873205226146402,3.4
ballybet,-125.0,0.0007882775026220035,-0.0449137662988228,Seattle Kraken @ New Jersey Devils,player_shots_on_goal,Jared McCann,Over,2.5,-125.0,-155.0,-147.0,-145.0,-148.0,-150.0,-148.0,-160.0,-150.0,0.5559934875014566,1.8
draftkings,450.0,0.04123533471359542,-0.0448683261183261,Minnesota Wild @ Anaheim Ducks,player_goal_scorer_anytime,Mason McTavish,Yes,,320.0,350.0,,320.0,450.0,400.0,380.0,385.0,400.0,0.1893155154024719,5.5
fanduel,850.0,0.16521739130434754,-0.0447368421052631,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Nikita Grebyonkin,Yes,,400.0,900.0,,400.0,900.0,750.0,850.0,685.0,750.0,0.1226544622425629,9.5
fanduel,200.0,0.0018026060005948974,-0.0440251572327045,Pittsburgh Penguins @ New York Rangers,player_goals,Bryan Rust,Over,0.5,,,,,,165.0,200.0,165.0,165.0,0.3339342020001983,3.0
ballybet,110.0,0.006977977764108356,-0.0433498413545793,Minnesota Wild @ Anaheim Ducks,player_shots_on_goal,Ryan Hartman,Over,2.5,110.0,-110.0,-105.0,-110.0,-110.0,-110.0,104.0,-115.0,-110.0,0.4795133227448135,2.1
betmgm,425.0,0.02685421994884929,-0.0430672268907563,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Paul Cotter,Yes,,300.0,425.0,,300.0,320.0,,410.0,540.0,550.0,0.195591279990257,5.25
betmgm,400.0,0.018344431387909643,-0.042774024024024,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Kent Johnson,Yes,,270.0,400.0,,270.0,350.0,320.0,380.0,305.0,300.0,0.2036688862775819,5.0
draftkings,425.0,0.02555301296720036,-0.0427109440267335,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Kaapo Kakko,Yes,,300.0,375.0,,300.0,425.0,400.0,350.0,395.0,400.0,0.1953434310413715,5.25
ballybet,-143.0,-0.012170409513264424,-0.0423137632637207,Minnesota Wild @ Anaheim Ducks,player_shots_on_goal,Kirill Kaprizov,Over,3.5,-143.0,-175.0,-164.0,,-162.0,-175.0,,-180.0,-170.0,0.5813153557185317,1.6993006993006992
