event_id,sport_title,home_team,away_team,commence_time,market,outcome,BetMGM,BetOnline.ag,BetRivers,BetUS,Bovada,Caesars,DraftKings,FanDuel,LowVig.ag,MyBookie.ag
22a9b650e64ca15cb0c83dc0148a571e,NBA,Phoenix Suns,Denver Nuggets,2024-12-26T03:30:00Z,totals,Under,No Data,No Data,No Data,No Data,No Data,-105.0,-110.0,No Data,No Data,No Data
28ce00ceda2646f4b0579095537d2c55,NBA,Boston Celtics,Cleveland Cavaliers,2024-11-20T00:10:00Z,h2h,Boston Celtics,-225.0,-212.0,-195.0,-215.0,-220.0,-225.0,-218.0,-220.0,-212.0,-222.0
28ce00ceda2646f4b0579095537d2c55,NBA,Boston Celtics,Cleveland Cavaliers,2024-11-20T00:10:00Z,h2h,Cleveland Cavaliers,180.0,182.0,160.0,183.0,180.0,185.0,185.0,184.0,182.0,176.0
28ce00ceda2646f4b0579095537d2c55,NBA,Boston Celtics,Cleveland Cavaliers,2024-11-20T00:10:00Z,spreads,Boston Celtics,-110.0,-110.0,-110.0,-110.0,-110.0,-115.0,-112.0,-112.0,-106.0,-110.0
28ce00ceda2646f4b0579095537d2c55,NBA,Boston Celtics,Cleveland Cavaliers,2024-11-20T00:10:00Z,spreads,Cleveland Cavaliers,-110.0,-110.0,-110.0,-110.0,-110.0,-105.0,-108.0,-108.0,-106.0,-110.0
28ce00ceda2646f4b0579095537d2c55,NBA,Boston Celtics,Cleveland Cavaliers,2024-11-20T00:10:00Z,totals,Over,-115.0,-108.0,-110.0,-110.0,-110.0,-115.0,-108.0,-110.0,-105.0,-110.0
28ce00ceda2646f4b0579095537d2c55,NBA,Boston Celtics,Cleveland Cavaliers,2024-11-20T00:10:00Z,totals,Under,-105.0,-112.0,-110.0,-110.0,-110.0,-105.0,-112.0,-110.0,-109.0,-110.0
4da1e5d0859d00cf060770cbe9d575ac,NBA,Los Angeles Lakers,Utah Jazz,2024-11-20T03:40:00Z,h2h,Los Angeles Lakers,-600.0,-525.0,-560.0,-560.0,-600.0,-600.0,-575.0,-560.0,-526.0,-588.0
4da1e5d0859d00cf060770cbe9d575ac,NBA,Los Angeles Lakers,Utah Jazz,2024-11-20T03:40:00Z,h2h,Utah Jazz,425.0,420.0,410.0,430.0,425.0,430.0,425.0,420.0,420.0,409.0
4da1e5d0859d00cf060770cbe9d575ac,NBA,Los Angeles Lakers,Utah Jazz,2024-11-20T03:40:00Z,spreads,Los Angeles Lakers,-115.0,-113.0,-109.0,-110.0,-105.0,-110.0,-108.0,-110.0,-109.0,-110.0
4da1e5d0859d00cf060770cbe9d575ac,NBA,Los Angeles Lakers,Utah Jazz,2024-11-20T03:40:00Z,spreads,Utah Jazz,-105.0,-107.0,-112.0,-110.0,-115.0,-110.0,-112.0,-110.0,-103.0,-110.0
4da1e5d0859d00cf060770cbe9d575ac,NBA,Los Angeles Lakers,Utah Jazz,2024-11-20T03:40:00Z,totals,Over,-115.0,-105.0,-110.0,-110.0,-110.0,-105.0,-110.0,-110.0,-102.0,-110.0
4da1e5d0859d00cf060770cbe9d575ac,NBA,Los Angeles Lakers,Utah Jazz,2024-11-20T03:40:00Z,totals,Under,-105.0,-115.0,-110.0,-110.0,-110.0,-115.0,-110.0,-110.0,-113.0,-110.0
4f0bbc699601b7e229affc95e3305210,NBA,Brooklyn Nets,Charlotte Hornets,2024-11-20T00:40:00Z,h2h,Brooklyn Nets,-150.0,-148.0,-143.0,-150.0,-150.0,-140.0,No Data,-156.0,-148.0,-149.0
